label,horizon_months,n,mean,sd,p10,p25,median,p75,p90,p99,share_zero
ceiling_growth,12,165011,0.16199624877940108,4.699281965485365,0.0,0.0,0.0,0.003962016329675522,0.1730469288902945,2.377592348201294,0.6611195617261879
schedule_slip_days,12,165011,61.77503317960621,340.9172671960605,0.0,0.0,0.0,85.0,332.0,639.0,0.5835913969371739
unplanned_growth,12,165011,0.032878522200516076,3.2132782598745817,0.0,0.0,0.0,0.0,0.0,0.3980383023077824,0.9068122731211858
ceiling_growth,24,152484,0.2565741529182286,6.361493169518165,-3.269191531480629e-05,0.0,0.0,0.0364940580500176,0.3239433764474013,3.4744713739720714,0.5580782246006138
schedule_slip_days,24,152484,141.74386165105847,384.93776068651135,0.0,0.0,3.0,242.0,494.0,914.0,0.4497783373993337
unplanned_growth,24,152484,0.05336073799549861,3.516546697728644,0.0,0.0,0.0,0.0,0.006872516112834805,0.6408513077036839,0.8694420398205713
ceiling_growth,36,137850,0.32629949396684094,8.273702392801006,-0.00421354048238629,0.0,0.0,0.05395520314221852,0.3897588750888357,4.105218428628215,0.5209503083061299
schedule_slip_days,36,137850,200.2383532825535,456.44981409596465,0.0,0.0,30.0,335.0,730.0,1187.0,0.4183677910772579
unplanned_growth,36,137850,0.07667955473646763,4.669909780258974,0.0,0.0,0.0,0.0,0.015598456579290484,0.7829324312414531,0.8536235038084875
