label,horizon_months,awarding_agency_code,naics2,type_of_contract_pricing_code,value_quintile,n,mean,parent,shrunk
ceiling_growth_gt25,36,060,54,J,2,1,0.0,0.2453278014199196,0.23741400137411578
ceiling_growth_gt25,36,019,56,K,3,1,1.0,0.4774892384445386,0.4943444243011664
ceiling_growth_gt25,36,049,81,J,3,1,0.0,0.1499931659910997,0.14515467676558033
ceiling_growth_gt25,36,072,56,M,3,1,0.0,0.15586561028384732,0.15083768737146513
ceiling_growth_gt25,36,005,33,J,1,1,0.0,0.1739325925011657,0.1683218637108055
ceiling_growth_gt25,36,069,61,Y,0,1,0.0,0.2332355775654357,0.22571184925687326
ceiling_growth_gt25,36,047,45,J,1,1,0.0,0.22110600778873737,0.21397355592458456
ceiling_growth_gt25,36,047,52,J,1,1,0.0,0.17293594793743844,0.1673573689717146
ceiling_growth_gt25,36,019,61,U,3,1,1.0,0.4078640965941957,0.4269652547685765
ceiling_growth_gt25,36,027,54,J,1,1,0.0,0.2753705478040174,0.2664876269071136
ceiling_growth_gt25,36,013,22,K,3,1,0.0,0.147565953550247,0.14280576150023902
ceiling_growth_gt25,36,014,56,Y,2,1,0.0,0.21826902162964995,0.21122808544804833
ceiling_growth_gt25,36,036,22,S,1,1,0.0,0.09362809941511646,0.09060783814366109
ceiling_growth_gt25,36,485,53,J,4,1,1.0,0.2763611987179451,0.29970438585607595
ceiling_growth_gt25,36,524,53,J,4,1,0.0,0.10531471966053142,0.10191747063922395
ceiling_growth_gt25,36,089,33,L,4,1,0.0,0.09921875473247324,0.09601814974110313
ceiling_growth_gt25,36,047,53,J,3,1,1.0,0.23008599225916537,0.25492192799274066
ceiling_growth_gt25,36,020,62,J,2,1,0.0,0.17268555827265217,0.1671150563928892
ceiling_growth_gt25,36,072,61,S,4,1,0.0,0.14888731828145346,0.1440845015626969
ceiling_growth_gt25,36,019,52,K,0,1,0.0,0.31246271285722926,0.30238327050699604
ceiling_growth_gt25,36,071,56,J,0,1,0.0,0.242430380661225,0.23461004580118547
