horizon_months,n_qualifying,n_reconstructed_label,n_award_level_label,rate_reconstructed,rate_award_level,n_both_available,rate_reconstructed_on_common_rows,rate_award_level_on_common_rows
12,165011,165011,122446,0.08191575107114071,0.12611273540989498,122446,0.07773222481747055,0.12611273540989498
24,152484,152484,109919,0.11515962330474017,0.13186073381308053,109919,0.11099991812152585,0.13186073381308053
36,137850,137850,95285,0.1289735219441422,0.13713596053943433,95285,0.12499344073044026,0.13713596053943433
