label,horizon_months,base_fy,n,base_rate
any_change_order,12,2016,14418,0.125190733804966
any_change_order,12,2017,13864,0.12492787074437392
any_change_order,12,2018,14610,0.12299794661190964
any_change_order,12,2019,14617,0.13443251009098994
any_change_order,12,2020,14634,0.12457291239579063
any_change_order,12,2021,12527,0.12093877225193582
any_change_order,12,2022,12756,0.10238319222326749
any_change_order,12,ALL,192377,0.13569709476704594
ceiling_growth_gt10,24,2010,19065,0.22197744558090743
ceiling_growth_gt10,24,2011,16338,0.20443138695066715
ceiling_growth_gt10,24,2012,16998,0.18525708906930227
ceiling_growth_gt10,24,2013,14436,0.18356885563868108
ceiling_growth_gt10,24,2014,14335,0.18283920474363446
ceiling_growth_gt10,24,2015,13779,0.1878220480441251
ceiling_growth_gt10,24,2016,14418,0.18483839644888334
ceiling_growth_gt10,24,2017,13864,0.1829197922677438
ceiling_growth_gt10,24,2018,14610,0.1811088295687885
ceiling_growth_gt10,24,2019,14617,0.18033796264623383
ceiling_growth_gt10,24,2020,14634,0.18914855815224818
ceiling_growth_gt10,24,2021,12527,0.1861578989382933
ceiling_growth_gt10,24,2022,12756,0.17717152712449044
ceiling_growth_gt10,24,ALL,192377,0.18933136497606262
ceiling_growth_gt25,24,2010,19065,0.13726724364017834
ceiling_growth_gt25,24,2011,16338,0.13257436650752846
ceiling_growth_gt25,24,2012,16998,0.11819037533827509
ceiling_growth_gt25,24,2013,14436,0.1185231366029371
ceiling_growth_gt25,24,2014,14335,0.1182420648761772
ceiling_growth_gt25,24,2015,13779,0.11945714493069164
ceiling_growth_gt25,24,2016,14418,0.1169371618809821
ceiling_growth_gt25,24,2017,13864,0.11648874783612233
ceiling_growth_gt25,24,2018,14610,0.11204654346338125
ceiling_growth_gt25,24,2019,14617,0.11301908736402819
ceiling_growth_gt25,24,2020,14634,0.12341123411234112
ceiling_growth_gt25,24,2021,12527,0.11167877384848726
ceiling_growth_gt25,24,2022,12756,0.10755722797115083
ceiling_growth_gt25,24,ALL,192377,0.1196140910815742
ceiling_growth_gt50,24,2010,19065,0.09089955415683189
ceiling_growth_gt50,24,2011,16338,0.08936222303831558
ceiling_growth_gt50,24,2012,16998,0.08048005647723261
ceiling_growth_gt50,24,2013,14436,0.07910778609032973
ceiling_growth_gt50,24,2014,14335,0.07806069061737007
ceiling_growth_gt50,24,2015,13779,0.07605776906887292
ceiling_growth_gt50,24,2016,14418,0.07469829379941739
ceiling_growth_gt50,24,2017,13864,0.07523081361800346
ceiling_growth_gt50,24,2018,14610,0.07248459958932238
ceiling_growth_gt50,24,2019,14617,0.07361291646712732
ceiling_growth_gt50,24,2020,14634,0.08234249009156758
ceiling_growth_gt50,24,2021,12527,0.07328171150315319
ceiling_growth_gt50,24,2022,12756,0.06773283160865474
ceiling_growth_gt50,24,ALL,192377,0.0785540891062861
schedule_slip_gt90,24,2010,19065,0.4098085496984002
schedule_slip_gt90,24,2011,16338,0.4024360386828253
schedule_slip_gt90,24,2012,16998,0.38763383927520884
schedule_slip_gt90,24,2013,14436,0.37787475755056804
schedule_slip_gt90,24,2014,14335,0.3937914196023718
schedule_slip_gt90,24,2015,13779,0.4001741780971043
schedule_slip_gt90,24,2016,14418,0.41697877652933835
schedule_slip_gt90,24,2017,13864,0.4262839007501443
schedule_slip_gt90,24,2018,14610,0.42265571526351814
schedule_slip_gt90,24,2019,14617,0.4508449066155846
schedule_slip_gt90,24,2020,14634,0.43836271696050294
schedule_slip_gt90,24,2021,12527,0.48120060668955056
schedule_slip_gt90,24,2022,12756,0.4519441831295077
schedule_slip_gt90,24,ALL,192377,0.418376417139263
schedule_slip_gt365,24,2010,19065,0.16627327563598215
schedule_slip_gt365,24,2011,16338,0.15662871832537642
schedule_slip_gt365,24,2012,16998,0.14737027885633605
schedule_slip_gt365,24,2013,14436,0.14782488223884732
schedule_slip_gt365,24,2014,14335,0.17530519707010814
schedule_slip_gt365,24,2015,13779,0.16793671529138543
schedule_slip_gt365,24,2016,14418,0.1619503398529616
schedule_slip_gt365,24,2017,13864,0.1793854587420658
schedule_slip_gt365,24,2018,14610,0.1948665297741273
schedule_slip_gt365,24,2019,14617,0.191694602175549
schedule_slip_gt365,24,2020,14634,0.17903512368457017
schedule_slip_gt365,24,2021,12527,0.2199249620819031
schedule_slip_gt365,24,2022,12756,0.22483537158984007
schedule_slip_gt365,24,ALL,192377,0.17626327471579242
terminated,24,2010,19065,0.011224757408864411
terminated,24,2011,16338,0.012914677439099033
terminated,24,2012,16998,0.015825391222496765
terminated,24,2013,14436,0.012815184261568302
terminated,24,2014,14335,0.01213812347401465
terminated,24,2015,13779,0.013353654111328835
terminated,24,2016,14418,0.010958524067138299
terminated,24,2017,13864,0.013632429313329487
terminated,24,2018,14610,0.013689253935660506
terminated,24,2019,14617,0.01416159266607375
