model,within_country_auc,within_lo,within_hi,pooled_auc,pooled_lo,pooled_hi
text_structured,0.5480453972257251,0.4977066586489853,0.6132184747048347,0.604705782240565,0.5552390439136708,0.6444406534129539
text_only,0.5788146279949559,0.5307224477104427,0.6236509221284449,0.6238182359698762,0.580943022725115,0.6634184772762174
cell_shrunk,0.5168978562421186,0.44683504984769584,0.571132224784781,0.5624487654058347,0.5036092911051997,0.6201797292898487
