model,pooled_auc,within_country_auc,brier,within_country_rows_excluded,fit_base_rate,test_base_rate,n_test,cell_fallback_share
"(a) base rate (constant, fit fold)",0.5,0.5,0.2666837404079799,0.28186596583442836,0.30979073243647237,0.4487516425755585,1522,0.11957950065703027
"(b2) country x practice cell means, shrunk",0.5787113223055405,0.4947741694662187,0.25838218416453623,0.28186596583442836,0.30979073243647237,0.4487516425755585,1522,0.11957950065703027
(d) PAD text only (TF-IDF),0.6129386060585966,0.5538136120442951,0.2798270077142537,0.28186596583442836,0.30979073243647237,0.4487516425755585,1522,0.11957950065703027
(c) PAD text + structured fields,0.5851472068993799,0.5390070921985816,0.3168371697960804,0.28186596583442836,0.30979073243647237,0.4487516425755585,1522,0.11957950065703027
