group,n,n_pos,n_neg,pairs,usable,auc
Republic of Panama,3,2,1,2,False,
Kingdom of Bhutan,3,2,1,2,False,
World,3,1,2,2,False,
Commonwealth of Dominica,2,2,0,0,False,
Dominican Republic,2,2,0,0,False,
Sint Maarten,2,2,0,0,False,
Western Balkans,2,0,2,0,False,
Kingdom of Eswatini,2,2,0,0,False,
Montenegro,2,2,0,0,False,
Latin America and Caribbean,2,2,0,0,False,
Grenada,2,1,1,1,False,
Republic of El Salvador,2,2,0,0,False,
Antigua and Barbuda,1,0,1,0,False,
Caribbean,1,1,0,0,False,
Kingdom of Thailand,1,1,0,0,False,
Republic of Guatemala,1,0,1,0,False,
Republic of Poland,1,1,0,0,False,
Republic of Costa Rica,1,1,0,0,False,
Republic of Bulgaria,1,1,0,0,False,
Europe and Central Asia,1,1,0,0,False,
East Asia and Pacific,1,1,0,0,False,
Southern Africa,1,0,1,0,False,
