projectid,icr_outratingind,iegapi_outcome,txturl,doc_icr,doc_ieg,note,api_matches_document,repaired_matches_document
P132208,Unsatisfactory,Unsatisfactory,http://documents.worldbank.org/curated/en/963911498229133804/text/ICRR-Disclosable-P132208-06-23-2017-1498229128526.txt,Unsatisfactory,Unsatisfactory,ok,True,True
P104995,Unsatisfactory,Unsatisfactory,http://documents.worldbank.org/curated/en/755261496238016227/text/ICRR-Disclosable-P104995-05-31-2017-1496237998195.txt,Unsatisfactory,Unsatisfactory,ok,True,True
P145610,Unsatisfactory,Unsatisfactory,http://documents.worldbank.org/curated/en/493971624280043388/text/Peru-PE-Lima-Metro-Line-2-Project.txt,Unsatisfactory,Unsatisfactory,ok,True,True
P108592,Unsatisfactory,Unsatisfactory,http://documents.worldbank.org/curated/en/840911479715891826/text/1478095732062-0000A8056-ICRR-Disclosable-P108592-11-02-2016-1478095720121.txt,Unsatisfactory,Unsatisfactory,ok,True,True
P165717,Unsatisfactory,Highly Unsatisfactory,http://documents.worldbank.org/curated/en/099545007272222088/text/P165717073dcef0b409f2c03a567eff3d2a.txt,Unsatisfactory,Highly Unsatisfactory,ok,True,True
P160619,Unsatisfactory,Unsatisfactory,http://documents.worldbank.org/curated/en/099050223184013487/text/P1606190ecadcf09308af607ae3722cbd06.txt,Unsatisfactory,Unsatisfactory,ok,True,True
P164389,Unsatisfactory,Unsatisfactory,https://documents.worldbank.org/curated/en/099021826204040935/text/P164389-4d83527b-7311-43d6-8cbe-8af6fac6eed0.txt,Unsatisfactory,Unsatisfactory,ok,True,True
P086877,Unsatisfactory,Unsatisfactory,http://documents.worldbank.org/curated/en/490481468274486018/text/ICRR-Disclosable-P086877-06-10-2016-1465563588250.txt,Unsatisfactory,Unsatisfactory,ok,True,True
P124775,Unsatisfactory,Unsatisfactory,http://documents.worldbank.org/curated/en/664421564509538969/text/Ghana-GH-West-Africa-Regional-Fisheries.txt,Unsatisfactory,Unsatisfactory,ok,True,True
P083108,Unsatisfactory,Unsatisfactory,http://documents.worldbank.org/curated/en/827731568231234060/text/Azerbaijan-RAIL-TRADE-TRNSPT-FACIL.txt,Unsatisfactory,Unsatisfactory,ok,True,True
P164543,Unsatisfactory,Unsatisfactory,https://documents.worldbank.org/curated/en/099062725035040634/text/P164543-7fc3f76e-1bc1-49d1-966d-332dcbf67a73.txt,Unsatisfactory,Unsatisfactory,ok,True,True
