year,n,agree,bank_higher,bank_lower,mean_gap
1997,10,0.6,0.4,0.0,0.4
1998,50,0.62,0.3,0.08,0.3
1999,83,0.5783132530120482,0.39759036144578314,0.024096385542168676,0.4578313253012048
2000,115,0.5826086956521739,0.40869565217391307,0.008695652173913044,0.4956521739130435
2001,175,0.6342857142857142,0.36,0.005714285714285714,0.4057142857142857
2002,170,0.6352941176470588,0.3352941176470588,0.029411764705882353,0.38823529411764707
2003,187,0.5401069518716578,0.43315508021390375,0.026737967914438502,0.45454545454545453
2004,236,0.5932203389830508,0.3813559322033898,0.025423728813559324,0.3898305084745763
2005,212,0.6084905660377359,0.3490566037735849,0.04245283018867924,0.37735849056603776
2006,205,0.6195121951219512,0.35609756097560974,0.024390243902439025,0.35609756097560974
2007,189,0.6402116402116402,0.30158730158730157,0.0582010582010582,0.2751322751322751
2008,205,0.7317073170731707,0.22926829268292684,0.03902439024390244,0.2048780487804878
2009,177,0.7627118644067796,0.20903954802259886,0.02824858757062147,0.1977401129943503
2010,196,0.7755102040816326,0.21428571428571427,0.01020408163265306,0.21428571428571427
2011,196,0.7959183673469388,0.1683673469387755,0.03571428571428571,0.14795918367346939
2012,156,0.7435897435897436,0.21153846153846154,0.04487179487179487,0.19230769230769232
2013,190,0.7947368421052632,0.17894736842105263,0.02631578947368421,0.15789473684210525
2014,224,0.7410714285714286,0.24107142857142858,0.017857142857142856,0.23214285714285715
2015,170,0.7235294117647059,0.27058823529411763,0.0058823529411764705,0.2823529411764706
2016,141,0.7659574468085106,0.23404255319148937,0.0,0.23404255319148937
2017,160,0.7875,0.175,0.0375,0.14375
2018,118,0.7966101694915254,0.19491525423728814,0.00847457627118644,0.2033898305084746
2019,57,0.7543859649122807,0.19298245614035087,0.05263157894736842,0.14035087719298245
2020,48,0.75,0.22916666666666666,0.020833333333333332,0.20833333333333334
2021,11,0.8181818181818182,0.18181818181818182,0.0,0.18181818181818182
2022,6,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
2023,3,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
