model,C,n_features,pooled_auc,within_country_auc,brier,within_country_rows_excluded
country identity only,1.0,150,0.5695329674225985,0.5,0.1629407501058002,0.3245729303547963
PAD text only,10.0,300000,0.6238182359698762,0.5788146279949559,0.14858879739521896,0.3245729303547963
PAD text + country identity,10.0,300150,0.6165638429136706,0.6037831021437579,0.15559418075503406,0.3245729303547963
structured + country identity,1.0,190,0.5819810236991023,0.5090794451450189,0.1681430423564738,0.3245729303547963
