projectid,txturl
P006043,http://documents.worldbank.org/curated/en/271841468768697115/text/multi-page.txt
P006046,http://documents.worldbank.org/curated/en/146641468741389757/text/multi-page.txt
P006050,http://documents.worldbank.org/curated/en/173171468767393073/text/multi-page.txt
P006058,http://documents.worldbank.org/curated/en/475641468742820285/text/multi-page.txt
P006059,http://documents.worldbank.org/curated/en/413141468742833963/text/multi0page.txt
P006204,http://documents.worldbank.org/curated/en/604181468769751133/text/multi-page.txt
P006449,http://documents.worldbank.org/curated/en/343171468769763405/text/multi-page.txt
P006475,http://documents.worldbank.org/curated/en/343591468769762775/text/multi0page.txt
P006549,http://documents.worldbank.org/curated/en/229381468743798142/text/multi-page.txt
P006553,http://documents.worldbank.org/curated/en/469521468016230708/text/474930PAD0P0061B01Official0Use0Only.txt
P006559,http://documents.worldbank.org/curated/en/697091468769465915/text/multi-page.txt
P006861,http://documents.worldbank.org/curated/en/256521468746390643/text/multi-page.txt
P006891,http://documents.worldbank.org/curated/en/638121468744029682/text/multi0page.txt
P007015,http://documents.worldbank.org/curated/en/485631468746720409/text/multi0page.txt
P007223,http://documents.worldbank.org/curated/en/369661468749083495/text/multi0page.txt
P007397,http://documents.worldbank.org/curated/en/268431468774876424/text/multi0page.txt
P007610,http://documents.worldbank.org/curated/en/691011468753263442/text/multi-page.txt
P007711,http://documents.worldbank.org/curated/en/331191468774660723/text/multi0page.txt
P007837,http://documents.worldbank.org/curated/en/352171468757503511/text/multi0page.txt
P008276,http://documents.worldbank.org/curated/en/687711468742875560/text/multi-page.txt
P008284,http://documents.worldbank.org/curated/en/705381468741625903/text/multi-page.txt
P008286,http://documents.worldbank.org/curated/en/239061468742855442/text/25755.txt
P008314,http://documents.worldbank.org/curated/en/282191468770113556/text/231510fixed.txt
P008416,http://documents.worldbank.org/curated/en/701521468771549450/text/multi-page.txt
P008497,http://documents.worldbank.org/curated/en/876291468771123950/text/multi-page.txt
P008499,http://documents.worldbank.org/curated/en/505531468773750475/text/multi-page.txt
P008500,http://documents.worldbank.org/curated/en/440831468775806854/text/multi-page.txt
P008503,http://documents.worldbank.org/curated/en/814721468752136372/text/multi-page.txt
P008530,http://documents.worldbank.org/curated/en/673331468772443462/text/multi-page.txt
P008615,http://documents.worldbank.org/curated/en/141131468776734717/text/multi-page.txt
P008616,http://documents.worldbank.org/curated/en/867691468759293134/text/multi-page.txt
P008783,http://documents.worldbank.org/curated/en/132281468780947660/text/multi0page.txt
P008797,http://documents.worldbank.org/curated/en/166201468758984711/text/multi-page.txt
P008832,http://documents.worldbank.org/curated/en/155491468759873204/text/multi-page.txt
P008860,http://documents.worldbank.org/curated/en/890301468782071765/text/multi0page.txt
P009073,http://documents.worldbank.org/curated/en/577271468760489728/text/multi-page.txt
P009089,http://documents.worldbank.org/curated/en/885841468760493837/text/multi0page.txt
P009125,http://documents.worldbank.org/curated/en/875551468779137187/text/multi-page.txt
P009127,http://documents.worldbank.org/curated/en/419551468779118141/text/255421UZ1Drain1Improve1R20031011111.txt
P009131,http://documents.worldbank.org/curated/en/271531468761431098/text/multi-page.txt
P009468,http://documents.worldbank.org/curated/en/239061468742545356/text/multi-page.txt
P009524,http://documents.worldbank.org/curated/en/345721468768585506/text/multi-page.txt
P009550,http://documents.worldbank.org/curated/en/858091468743409663/text/multi-page.txt
P009574,http://documents.worldbank.org/curated/en/534941468768593094/text/multi-page.txt
P009972,http://documents.worldbank.org/curated/en/124131468756597853/text/multi-page.txt
P009995,http://documents.worldbank.org/curated/en/617341468771641163/text/multi-page.txt
P010496,http://documents.worldbank.org/curated/en/223181468774894023/text/multi0page.txt
P010498,http://documents.worldbank.org/curated/en/112601468777039297/text/multi-page.txt
P010505,http://documents.worldbank.org/curated/en/680591468775824645/text/multi-page.txt
P010509,http://documents.worldbank.org/curated/en/868721468756966773/text/multi-page.txt
P010511,http://documents.worldbank.org/curated/en/941531468750030165/text/multi0page.txt
P010525,http://documents.worldbank.org/curated/en/387281468759868625/text/multi-page.txt
P010530,http://documents.worldbank.org/curated/en/665191468779688119/text/multi-page.txt
P010531,http://documents.worldbank.org/curated/en/672681468772474128/text/multi0page.txt
P010556,http://documents.worldbank.org/curated/en/637571468780970318/text/272810PK.txt
P010561,http://documents.worldbank.org/curated/en/100691468772758467/text/multi-page.txt
P010566,http://documents.worldbank.org/curated/en/276131468772744316/text/multi-page.txt
P033965,http://documents.worldbank.org/curated/en/527091468769914275/text/multi-page.txt
P034038,http://documents.worldbank.org/curated/en/756301468772197635/text/multi0page.txt
P034081,http://documents.worldbank.org/curated/en/879701468769148976/text/multi-page.txt
P034212,http://documents.worldbank.org/curated/en/419901468777264672/text/multi-page.txt
P034213,http://documents.worldbank.org/curated/en/318511468780942160/text/multi-page.txt
P034609,http://documents.worldbank.org/curated/en/294621468773072222/text/multi0page.txt
P035076,http://documents.worldbank.org/curated/en/884001468764096110/text/multi0page.txt
P035160,http://documents.worldbank.org/curated/en/543321468752699577/text/multi-page.txt
P035169,http://documents.worldbank.org/curated/en/824901468752410003/text/multi-page.txt
P035172,http://documents.worldbank.org/curated/en/149071468771360294/text/multi-page.txt
P035173,http://documents.worldbank.org/curated/en/478321468782109550/text/multi-page.txt
P035626,http://documents.worldbank.org/curated/en/789241468749088708/text/multi-page.txt
P035630,http://documents.worldbank.org/curated/en/251021468756573864/text/multi0page.txt
P035643,http://documents.worldbank.org/curated/en/924931468770678556/text/multi-page.txt
P035645,http://documents.worldbank.org/curated/en/128201468743813215/text/multi-page.txt
P035648,http://documents.worldbank.org/curated/en/424141468767962329/text/multi-page.txt
P035655,http://documents.worldbank.org/curated/en/308471468027282736/text/177700Replacem1erA1998100101PUBLIC1.txt
P035672,http://documents.worldbank.org/curated/en/862301468768844770/text/multi-page.txt
P035673,http://documents.worldbank.org/curated/en/718091468769798335/text/multi-page.txt
P035688,http://documents.worldbank.org/curated/en/349841468771563642/text/multi0page.txt
P035689,http://documents.worldbank.org/curated/en/482211468775496517/text/multi0page.txt
P035698,http://documents.worldbank.org/curated/en/699531468769262352/text/multi-page.txt
P035707,http://documents.worldbank.org/curated/en/797771468760510334/text/multi-page.txt
