projectid,id,docdt,reject_reason
P075947,6441052,2005-11-01T05:00:00Z,docdt_after_approval_plus_grace
P075945,6440927,2005-11-01T05:00:00Z,docdt_after_approval_plus_grace
P088828,6619227,2005-09-19T04:00:00Z,docdt_after_approval_plus_grace
P049395,6058379,2005-06-27T04:00:00Z,docdt_after_approval_plus_grace
P088967,6045606,2005-06-21T04:00:00Z,no_board_approval_date
P088934,6242888,2005-05-31T04:00:00Z,docdt_after_approval_plus_grace
P064082,6336275,2005-02-21T05:00:00Z,docdt_after_approval_plus_grace
P088679,5700516,2004-12-28T05:00:00Z,no_board_approval_date
P077661,9419679,2004-11-15T05:00:00Z,no_board_approval_date
P079320,5184234,2004-10-07T04:00:00Z,docdt_after_approval_plus_grace
P083993,3027821,2004-03-25T05:00:00Z,no_board_approval_date
P088436,3027821,2004-03-25T05:00:00Z,no_board_approval_date
P080823,2102958,2002-12-09T05:00:00Z,no_board_approval_date
P092289,1811280,2002-06-04T04:00:00Z,no_board_approval_date
P068049,1798548,2002-05-30T04:00:00Z,docdt_after_approval_plus_grace
P056223,1561416,2001-08-20T04:00:00Z,docdt_after_approval_plus_grace
P069762,729030,2000-05-15T04:00:00Z,docdt_after_approval_plus_grace
P008250,441498,1997-10-20T04:00:00Z,docdt_after_approval_plus_grace
P001074,18082379,1999-03-24T05:00:00Z,same_date_duplicate_or_translation
P005524,11054238,1998-10-07T04:00:00Z,same_date_duplicate_or_translation
P005525,16952633,1998-11-19T05:00:00Z,same_date_duplicate_or_translation
P005741,5055426,1998-02-20T05:00:00Z,same_date_duplicate_or_translation
P005750,4998814,2001-05-25T04:00:00Z,same_date_duplicate_or_translation
P010530,40118850,1997-10-20T04:00:00Z,same_date_duplicate_or_translation
P035707,4963641,2000-05-10T04:00:00Z,same_date_duplicate_or_translation
P043700,6336289,1998-06-03T04:00:00Z,same_date_duplicate_or_translation
P044584,16952296,1999-05-05T04:00:00Z,same_date_duplicate_or_translation
P046031,16773321,1998-06-19T04:00:00Z,same_date_duplicate_or_translation
P046045,12041956,2001-05-07T04:00:00Z,later_version_within_grace_window
P048202,5723598,2000-03-30T05:00:00Z,same_date_duplicate_or_translation
P048204,6102525,2000-03-30T05:00:00Z,same_date_duplicate_or_translation
P048315,4998816,2002-06-06T04:00:00Z,later_version_within_grace_window
P048697,16755153,1997-06-04T04:00:00Z,same_date_duplicate_or_translation
P048825,4998839,2001-05-16T04:00:00Z,same_date_duplicate_or_translation
P050418,16769188,1997-12-30T05:00:00Z,same_date_duplicate_or_translation
P050886,16953090,1998-12-08T05:00:00Z,same_date_duplicate_or_translation
P050945,4963155,2000-05-30T04:00:00Z,same_date_duplicate_or_translation
P052247,16953515,1999-04-13T04:00:00Z,same_date_duplicate_or_translation
P054886,1551984,2001-04-09T04:00:00Z,same_date_duplicate_or_translation
P054937,7449815,2002-07-31T04:00:00Z,same_date_duplicate_or_translation
P055814,4996080,1999-04-30T04:00:00Z,same_date_duplicate_or_translation
P057996,10262347,1999-12-20T05:00:00Z,same_date_duplicate_or_translation
P058770,9885431,2000-01-21T05:00:00Z,same_date_duplicate_or_translation
P062840,5724064,1999-12-29T05:00:00Z,same_date_duplicate_or_translation
P064836,6694794,2005-10-01T04:00:00Z,later_version_within_grace_window
P064883,2297349,2003-04-30T04:00:00Z,later_version_within_grace_window
P064918,16368776,2007-02-13T05:00:00Z,later_version_within_grace_window
P064983,11049104,2002-06-05T04:00:00Z,same_date_duplicate_or_translation
P065757,11053689,2000-06-16T04:00:00Z,later_version_within_grace_window
P069124,2509655,2003-05-15T04:00:00Z,same_date_duplicate_or_translation
P069460,6337330,2005-02-09T05:00:00Z,same_date_duplicate_or_translation
P072226,7033801,2001-06-13T04:00:00Z,same_date_duplicate_or_translation
P072317,4963653,2002-09-30T04:00:00Z,later_version_within_grace_window
P072458,11049143,2001-07-13T04:00:00Z,same_date_duplicate_or_translation
P072960,10805645,2003-03-12T05:00:00Z,same_date_duplicate_or_translation
P072960,10812224,2003-03-12T05:00:00Z,same_date_duplicate_or_translation
P073242,2355576,2003-05-19T04:00:00Z,later_version_within_grace_window
P073603,2361803,2003-04-30T04:00:00Z,same_date_duplicate_or_translation
P074398,10805809,2002-11-07T05:00:00Z,same_date_duplicate_or_translation
P074398,6316944,2002-11-07T05:00:00Z,same_date_duplicate_or_translation
P074797,10806573,2002-05-14T04:00:00Z,same_date_duplicate_or_translation
P075808,11054274,2002-09-12T04:00:00Z,same_date_duplicate_or_translation
P076784,6672334,2003-03-27T05:00:00Z,same_date_duplicate_or_translation
P077513,7464738,2004-03-19T05:00:00Z,same_date_duplicate_or_translation
P078342,12146161,2007-01-08T05:00:00Z,same_date_duplicate_or_translation
P079749,9684897,2008-05-23T04:00:00Z,same_date_duplicate_or_translation
P080228,12090818,2009-11-23T05:00:00Z,same_date_duplicate_or_translation
P080413,6469692,2005-02-18T05:00:00Z,same_date_duplicate_or_translation
P082498,10811746,2004-02-26T05:00:00Z,same_date_duplicate_or_translation
P082715,7450371,2004-01-07T05:00:00Z,same_date_duplicate_or_translation
P082999,4963131,2004-01-23T05:00:00Z,same_date_duplicate_or_translation
P083350,6569474,2005-12-07T05:00:00Z,same_date_duplicate_or_translation
P083370,10811724,2004-04-20T04:00:00Z,same_date_duplicate_or_translation
P084002,7726672,2007-05-01T04:00:00Z,same_date_duplicate_or_translation
P084317,5664005,2004-08-20T04:00:00Z,same_date_duplicate_or_translation
P085621,18473854,2013-05-07T04:00:00Z,same_date_duplicate_or_translation
P086689,5859911,2005-05-11T04:00:00Z,later_version_within_grace_window
P086994,7033765,2005-10-10T04:00:00Z,same_date_duplicate_or_translation
P087925,8476438,2007-09-27T04:00:00Z,later_version_within_grace_window
P087970,10774461,2007-05-22T04:00:00Z,same_date_duplicate_or_translation
P088435,12796603,2010-04-22T04:00:00Z,same_date_duplicate_or_translation
P088876,12800436,2008-04-01T04:00:00Z,same_date_duplicate_or_translation
P088929,5215368,2004-06-10T04:00:00Z,same_date_duplicate_or_translation
P089566,5813914,2005-03-13T05:00:00Z,later_version_within_grace_window
P091297,23926642,2007-07-09T04:00:00Z,same_date_duplicate_or_translation
P091827,12159940,2010-04-05T04:00:00Z,later_version_within_grace_window
P094007,7020892,2006-04-10T04:00:00Z,same_date_duplicate_or_translation
P094103,7716672,2007-03-05T05:00:00Z,same_date_duplicate_or_translation
P094103,7716694,2007-03-05T05:00:00Z,same_date_duplicate_or_translation
P094103,7716706,2007-03-05T05:00:00Z,same_date_duplicate_or_translation
P094755,14944827,2010-12-21T05:00:00Z,same_date_duplicate_or_translation
P095155,12092677,2005-10-01T04:00:00Z,later_version_within_grace_window
P095171,13050871,2010-10-29T04:00:00Z,later_version_within_grace_window
P095759,9697455,2008-04-16T04:00:00Z,same_date_duplicate_or_translation
P095847,11022571,2009-04-23T04:00:00Z,same_date_duplicate_or_translation
P095863,12265679,2009-12-16T05:00:00Z,same_date_duplicate_or_translation
P096058,8667814,2007-10-19T04:00:00Z,same_date_duplicate_or_translation
P096605,9420726,2006-02-23T05:00:00Z,same_date_duplicate_or_translation
P096998,12050616,2007-09-17T04:00:00Z,later_version_within_grace_window
P098040,8106947,2007-08-13T04:00:00Z,later_version_within_grace_window
P098742,9398716,2008-04-24T04:00:00Z,later_version_within_grace_window
P098889,8011498,2007-05-04T04:00:00Z,same_date_duplicate_or_translation
P099270,12091517,2009-04-07T04:00:00Z,same_date_duplicate_or_translation
P099453,6663338,2006-01-18T05:00:00Z,same_date_duplicate_or_translation
P100026,7326115,2006-11-14T05:00:00Z,same_date_duplicate_or_translation
P101201,12545577,2010-01-27T05:00:00Z,same_date_duplicate_or_translation
P101289,17364818,2012-11-02T04:00:00Z,same_date_duplicate_or_translation
P101336,14786178,2011-01-01T05:00:00Z,later_version_within_grace_window
P101504,13062866,2010-08-09T04:00:00Z,same_date_duplicate_or_translation
P102177,12691451,2010-06-01T04:00:00Z,same_date_duplicate_or_translation
P102475,10810184,2008-04-09T04:00:00Z,same_date_duplicate_or_translation
P103063,14182375,2010-10-13T04:00:00Z,same_date_duplicate_or_translation
P104265,9526651,2008-05-14T04:00:00Z,same_date_duplicate_or_translation
P104266,10803548,2009-06-03T04:00:00Z,same_date_duplicate_or_translation
P104357,7511241,2006-12-22T05:00:00Z,same_date_duplicate_or_translation
P106424,14464252,2010-10-25T04:00:00Z,same_date_duplicate_or_translation
P106680,15414969,2011-06-09T04:00:00Z,same_date_duplicate_or_translation
P106700,14813526,2011-06-13T04:00:00Z,same_date_duplicate_or_translation
P106735,15473539,2011-03-17T04:00:00Z,same_date_duplicate_or_translation
