fold,n,broken_of_per_1k,mean_broken_of_per_1k,single_char_token_rate
train,1703,0.0,0.15611987406079542,0.016973580102511737
validate,973,0.07124035461324055,0.2818276190758313,0.0610656771472765
test,1522,0.0,0.014594746511728788,0.01573510973356728
