column,dtype,non_null,distinct,known_at_board_approval,source,observed_values_if_few
risk_to_dev_outcome_scale_vintage,str,2092,3,False,derived in src/dataset.py or Projects API scalar field,both; new; old
borrower_perf_six_point,Float64,2551,6,False,derived in src/dataset.py or Projects API scalar field,1.0; 2.0; 3.0; 4.0; 5.0; 6.0
approval_amount_usd,float64,4253,1462,True,derived in src/dataset.py or Projects API scalar field,
log_commitment,float64,4253,1462,True,derived in src/dataset.py or Projects API scalar field,
log_curr_commitment_excluded_from_features,float64,4248,1710,False,derived in src/dataset.py or Projects API scalar field,
pad_text_sha256,str,4250,4214,False,Documents and Reports API (qualifying PAD record),
pad_text_bytes,float64,4251,4190,False,Documents and Reports API (qualifying PAD record),
pad_text_status,str,4251,4,False,Documents and Reports API (qualifying PAD record),extract_failed; http_404; ok; too_short
pad_text_http_status,float64,4251,2,False,Documents and Reports API (qualifying PAD record),200.0; 404.0
pad_text_usable,bool,4253,2,False,Documents and Reports API (qualifying PAD record),False; True
