model,n,auc,brier,bss_vs_train_base_rate,bss_vs_test_base_rate,bss_vs_cell,within_country_auc_pairwt,within_country_auc_nwt,within_country_rows_excluded
"(a) base rate (constant, train)",1522,0.5,0.15944327089883673,0.0,-0.04766139342444475,-0.0016370780722936296,0.5,0.5,0.3245729303547963
"(b) country x decade x practice cell means, shrunk (pre-registered; degenerates)",1522,0.5275099632671006,0.15813017746261962,0.008235489831679543,-0.03903338867185435,0.006611893899204024,0.510718789407314,0.506699881722626,0.3245729303547963
"(b2) country x practice cell means, shrunk (reference class)",1522,0.5624487654058347,0.15918267642976455,0.0016344024279175695,-0.04594909309939643,0.0,0.5168978562421186,0.5075308945634803,0.3245729303547963
(c) PAD text + structured fields,1522,0.604705782240565,0.15373912758012342,0.03577537820540855,-0.010180910843479829,0.03419686722030313,0.5480453972257251,0.5583823691424264,0.3245729303547963
(d) PAD text only (TF-IDF),1522,0.6238182359698762,0.14858879739521896,0.06807733836885899,0.02366060575170159,0.06655170821442924,0.5788146279949559,0.5839082859806383,0.3245729303547963
(e) structured fields only (ablation),1522,0.5547887503722929,0.16345892105851742,-0.025185447695867502,-0.07404721465151587,-0.02686375631232485,0.49899117276166455,0.521081967451614,0.3245729303547963
