variant,label,horizon,key,group,n_train,resid_train,n_test,resid_test,y_test,p_test
shape_office,schedule_slip_gt90,24,recipient_uei,C12TQVKF5413,33,-0.07867979311380927,21,0.12903265133032793,0.7142857142857143,0.5852530629553863
shape_office,schedule_slip_gt90,24,recipient_uei,C18SMFDN59E7,22,-0.06095003452722722,3,0.22760004415211865,0.3333333333333333,0.10573328918121466
shape_office,schedule_slip_gt90,24,recipient_uei,C193UPZTD683,8,-0.06687564735978246,3,0.5199039562626736,1.0,0.48009604373732645
shape_office,schedule_slip_gt90,24,recipient_uei,C19ELN62VL28,24,-0.041513873998582244,6,0.21582741710208722,1.0,0.7841725828979128
shape_office,schedule_slip_gt90,24,recipient_uei,C19UCN8MLRE5,5,0.2784605770137456,16,0.1115417902372803,0.625,0.5134582097627197
shape_office,schedule_slip_gt90,24,recipient_uei,C1HBCJ9RMBV3,54,-0.022519115286200923,30,0.11340645151323911,0.6666666666666666,0.5532602151534275
shape_office,schedule_slip_gt90,24,recipient_uei,C1J1B6AJTQK4,25,-0.11623871765088559,11,-0.0471402227777638,0.5454545454545454,0.5925947682323093
shape_office,schedule_slip_gt90,24,recipient_uei,C277DHXWNTU9,6,-0.05314944228797802,5,0.07737467302743806,0.4,0.32262532697256197
shape_office,schedule_slip_gt90,24,recipient_uei,C2SKL5QBJRD3,11,0.06874138504782958,5,-0.22218961921277117,0.2,0.4221896192127712
shape_office,schedule_slip_gt90,24,recipient_uei,C2TLU3VGKPC6,26,-0.04042045768841886,22,0.1562548989393987,0.5454545454545454,0.38919964651514677
shape_office,schedule_slip_gt90,24,recipient_uei,C3DAVH4VJDG3,29,0.08353062470509573,15,-0.05726481930290561,0.4666666666666667,0.5239314859695723
shape_office,schedule_slip_gt90,24,recipient_uei,C3JZNM5ZLAL1,29,-0.22833630161924656,6,-0.4878917644539362,0.16666666666666666,0.6545584311206029
shape_office,schedule_slip_gt90,24,recipient_uei,C3NLZNSMU254,22,0.1420991518287823,9,0.060489302427421315,0.5555555555555556,0.49506625312813424
shape_office,schedule_slip_gt90,24,recipient_uei,C3NRYDF1K755,64,-0.04187933475805926,13,-0.1873583876116734,0.07692307692307693,0.2642814645347503
shape_office,schedule_slip_gt90,24,recipient_uei,C3QJD7VXG167,146,-0.030827421996125853,47,0.17867698068206098,0.723404255319149,0.5447272746370879
shape_office,schedule_slip_gt90,24,recipient_uei,C43DLCSKXGM8,5,0.059829226581023034,11,0.1244363871405232,0.9090909090909091,0.7846545219503859
shape_office,schedule_slip_gt90,24,recipient_uei,C47BNA8GM833,26,-0.130817127595601,6,0.1653868579310617,1.0,0.8346131420689383
shape_office,schedule_slip_gt90,24,recipient_uei,C6M7C2FLKER5,6,-0.08533648150311801,10,-0.15378270938095134,0.3,0.45378270938095133
shape_office,schedule_slip_gt90,24,recipient_uei,C6Z6WQKFN7M6,6,0.02516234338906116,5,0.029917623166159573,0.8,0.7700823768338404
shape_office,schedule_slip_gt90,24,recipient_uei,C76NUJZDXL75,9,0.13720833685941491,4,0.26502890193119405,0.5,0.23497109806880592
shape_office,schedule_slip_gt90,24,recipient_uei,C7ADDFKC39J9,8,0.16157968428294023,4,0.2584902955956937,0.75,0.49150970440430636
shape_office,schedule_slip_gt90,24,recipient_uei,C8FUKQKC9JB4,18,-0.01112975848693022,3,0.2863668778428063,0.6666666666666666,0.3802997888238604
shape_office,schedule_slip_gt90,24,recipient_uei,C8H9CNG1VBD9,14,0.10723759436577789,6,0.1063091217636072,0.8333333333333334,0.7270242115697262
shape_office,schedule_slip_gt90,24,recipient_uei,C8YXMSHK3N34,27,-0.02499767605696748,5,0.3741604987315615,1.0,0.6258395012684386
shape_office,schedule_slip_gt90,24,recipient_uei,C8ZLJ61YJ528,46,-0.06879243415199916,27,-0.08481603617300683,0.2962962962962963,0.38111233246930315
shape_office,schedule_slip_gt90,24,recipient_uei,C94KLMMN1WB3,7,-0.09647653815273875,7,0.11329639231633634,0.42857142857142855,0.3152750362550922
shape_office,schedule_slip_gt90,24,recipient_uei,C9AFMLP98K27,22,0.06417774225389446,3,-0.04811193176536984,0.6666666666666666,0.7147785984320366
shape_office,schedule_slip_gt90,24,recipient_uei,C9BMGUZDFKM1,5,-0.014414381257191144,3,-0.07632096362427661,0.6666666666666666,0.7429876302909433
shape_office,schedule_slip_gt90,24,recipient_uei,C9C6HPQLL4A8,31,-0.06744085496147816,7,0.05349215232619966,0.42857142857142855,0.3750792762452289
shape_office,schedule_slip_gt90,24,recipient_uei,C9P6LLA9PBL4,9,-0.08560459363360227,4,0.07021183542534709,0.5,0.4297881645746529
shape_office,schedule_slip_gt90,24,recipient_uei,C9S1NLQ67626,9,-0.11638218167283856,11,-0.12414375859425891,0.2727272727272727,0.3968710313215316
shape_office,schedule_slip_gt90,24,recipient_uei,C9SHB6RM9HJ5,6,-0.016851331707835544,4,-0.009726635878361577,0.0,0.009726635878361577
shape_office,schedule_slip_gt90,24,recipient_uei,C9STCNAJ9YV5,11,0.09045401515416063,7,0.028208039551973756,0.8571428571428571,0.8289348175908834
shape_office,schedule_slip_gt90,24,recipient_uei,CA9KMFKBBM13,11,0.21607141341600797,4,0.4523958646614127,1.0,0.5476041353385873
shape_office,schedule_slip_gt90,24,recipient_uei,CBHGJF4MMQ27,18,0.12428282507488705,3,0.07013128521962408,0.6666666666666666,0.5965353814470425
shape_office,schedule_slip_gt90,24,recipient_uei,CBQZMN7QV9N5,12,-0.09761917233033768,3,0.2113023557677671,0.3333333333333333,0.12203097756556625
shape_office,schedule_slip_gt90,24,recipient_uei,CBXRSPNRF8F9,29,0.0030649538192972243,5,-0.22725346771465205,0.0,0.22725346771465205
shape_office,schedule_slip_gt90,24,recipient_uei,CCBKQV2MBMV6,63,-0.02439576950909371,15,0.23240994800948034,0.9333333333333333,0.7009233853238529
