forecast,outcome,outcome_label,scale,brier,reliability,resolution,uncertainty,base_rate,n,n_bins,skill_vs_base_rate,decomposition_residual,brier_perfectly_recalibrated
base rate (in sample),slip_1y_gt_6m,End date slipped more than 6 months,five_point,0.1568388784232282,7.703719777548943e-34,0.0,0.15683887842322816,0.19477693144722524,919,1,-2.220446049250313e-16,2.7755575615628914e-17,0.15683887842322816
climatology (prior snapshots only),slip_1y_gt_6m,End date slipped more than 6 months,five_point,0.1624320387137989,0.0019129468874271248,0.0007995716684378862,0.1613186634948097,0.20220588235294118,816,8,-0.0069017136323166195,-2.7755575615628914e-17,0.1605190918263718
published DCA (climatology rows),slip_1y_gt_6m,End date slipped more than 6 months,five_point,0.28608762254901965,0.12891678272097898,0.004147823666769048,0.1613186634948097,0.20220588235294118,816,5,-0.7734316436251922,0.0,0.15717083982804064
persistence (previous DCA),slip_1y_gt_6m,End date slipped more than 6 months,five_point,0.30436936936936937,0.1436951552755024,0.0014749621093633073,0.16214917620323024,0.2036036036036036,555,5,-0.877094762343331,5.551115123125783e-17,0.16067421409386692
published DCA (persistence rows),slip_1y_gt_6m,End date slipped more than 6 months,five_point,0.28098198198198204,0.1228113988113988,0.003978593032647087,0.16214917620323024,0.2036036036036036,555,5,-0.732860989869059,5.551115123125783e-17,0.15817058317058316
published DCA,slip_1y_gt_6m,End date slipped more than 6 months,three_point,0.26968749999999997,0.07368726887076625,0.0020850116203256393,0.19808524274955938,0.2721518987341772,632,3,-0.3614719413549037,0.0,0.19600023112923373
base rate (in sample),slip_1y_gt_6m,End date slipped more than 6 months,three_point,0.19808524274955935,3.0814879110195774e-33,0.0,0.19808524274955938,0.2721518987341772,632,1,1.1102230246251565e-16,-2.7755575615628914e-17,0.19808524274955938
climatology (prior snapshots only),slip_1y_gt_6m,End date slipped more than 6 months,three_point,0.21123210231663997,0.0069152621815422215,0.0032956166123070843,0.20761245674740483,0.29411764705882354,459,3,-0.01743462615848257,0.0,0.20431684013509774
published DCA (climatology rows),slip_1y_gt_6m,End date slipped more than 6 months,three_point,0.2659749455337691,0.06125238160553009,0.0028898928191658842,0.20761245674740483,0.29411764705882354,459,3,-0.28111265432098786,5.551115123125783e-17,0.20472256392823895
persistence (previous DCA),slip_1y_gt_6m,End date slipped more than 6 months,three_point,0.2618316195372751,0.05349407822254866,0.0029880512996496565,0.21132559261437606,0.3033419023136247,389,3,-0.23899626305585087,0.0,0.2083375413147264
published DCA (persistence rows),slip_1y_gt_6m,End date slipped more than 6 months,three_point,0.2687146529562982,0.05968694511850928,0.0022978847765871323,0.21132559261437606,0.3033419023136247,389,3,-0.27156701482269074,0.0,0.20902770783778893
published DCA,slip_1y_gt_12m,End date slipped more than 12 months,five_point,0.2857780195865071,0.1708376119570646,0.0025762667137962016,0.11751667434323868,0.13601741022850924,919,5,-1.4318082619647359,5.551115123125783e-17,0.11494040762944248
base rate (in sample),slip_1y_gt_12m,End date slipped more than 12 months,five_point,0.1175166743432387,7.703719777548943e-34,0.0,0.11751667434323868,0.13601741022850924,919,1,-2.220446049250313e-16,2.7755575615628914e-17,0.11751667434323868
climatology (prior snapshots only),slip_1y_gt_12m,End date slipped more than 12 months,five_point,0.12055152897335158,0.00127952499467179,0.0009161448102475506,0.12018814878892735,0.13970588235294118,816,8,-0.0030234277512868335,0.0,0.11927200397867979
published DCA (climatology rows),slip_1y_gt_12m,End date slipped more than 12 months,five_point,0.2954013480392157,0.17763673107328026,0.002423531822991911,0.12018814878892735,0.13970588235294118,816,5,-1.4578242615084718,0.0,0.11776461696593543
persistence (previous DCA),slip_1y_gt_12m,End date slipped more than 12 months,five_point,0.3032882882882883,0.18166552305969996,0.0017438446245080432,0.12336660985309635,0.14414414414414414,555,5,-1.4584309210526314,5.551115123125783e-17,0.12162276522858831
published DCA (persistence rows),slip_1y_gt_12m,End date slipped more than 12 months,five_point,0.2878288288288288,0.16746554596554594,0.0030033269898134766,0.12336660985309635,0.14414414414414414,555,5,-1.3331177631578948,0.0,0.12036328286328286
published DCA,slip_1y_gt_12m,End date slipped more than 12 months,three_point,0.2719026898734177,0.1269805714580662,0.0019068152491253704,0.14682893366447683,0.1787974683544304,632,3,-0.8518331713472131,0.0,0.14492211841535146
base rate (in sample),slip_1y_gt_12m,End date slipped more than 12 months,three_point,0.14682893366447686,7.703719777548943e-34,0.0,0.14682893366447683,0.1787974683544304,632,1,-2.220446049250313e-16,2.7755575615628914e-17,0.14682893366447683
climatology (prior snapshots only),slip_1y_gt_12m,End date slipped more than 12 months,three_point,0.15515435775505174,0.004319888584335203,0.002781661377363267,0.1536161305480798,0.1895424836601307,459,3,-0.010013448467187436,0.0,0.15083446917071652
published DCA (climatology rows),slip_1y_gt_12m,End date slipped more than 12 months,three_point,0.2720751633986928,0.12021253808267392,0.0017535052320609315,0.1536161305480798,0.1895424836601307,459,3,-0.7711366796440491,5.551115123125783e-17,0.15186262531601885
persistence (previous DCA),slip_1y_gt_12m,End date slipped more than 12 months,three_point,0.26723007712082264,0.11240169475387986,0.0023738565820464563,0.15720223894898924,0.1953727506426735,389,3,-0.6999126660501094,0.0,0.1548283823669428
published DCA (persistence rows),slip_1y_gt_12m,End date slipped more than 12 months,three_point,0.2759125964010283,0.12007242515248442,0.0013620677004453517,0.15720223894898924,0.1953727506426735,389,3,-0.7551441903480747,-5.551115123125783e-17,0.15584017124854388
published DCA,red_next,Rated Red at the next snapshot,five_point,0.300503164556962,0.25847378416833533,0.0014636495745202359,0.04349302996314693,0.04556962025316456,790,5,-5.909225795755968,0.0,0.0420293803886267
base rate (in sample),red_next,Rated Red at the next snapshot,five_point,0.04349302996314692,4.81482486096809e-35,0.0,0.04349302996314693,0.04556962025316456,790,1,3.3306690738754696e-16,-1.3877787807814457e-17,0.04349302996314693
climatology (prior snapshots only),red_next,Rated Red at the next snapshot,five_point,0.048388455467175275,0.0009488918270816318,0.0005147267384391651,0.0479542903785328,0.050505050505050504,693,7,-0.009053727731457295,6.938893903907228e-18,0.047439563640093635
published DCA (climatology rows),red_next,Rated Red at the next snapshot,five_point,0.3107503607503608,0.26461314656436613,0.0018170761925381288,0.0479542903785328,0.050505050505050504,693,5,-5.480136778115503,0.0,0.04613721418599467
persistence (previous DCA),red_next,Rated Red at the next snapshot,five_point,0.31954183266932273,0.2742691076581739,0.00025036192397926934,0.045523086935128014,0.04780876494023904,502,5,-6.019335774058578,5.551115123125783e-17,0.04527272501114874
published DCA (persistence rows),red_next,Rated Red at the next snapshot,five_point,0.3005029880478088,0.25694246249889824,0.001962561386217485,0.045523086935128014,0.04780876494023904,502,5,-5.6011118375174345,0.0,0.04356052554891053
published DCA,red_next,Rated Red at the next snapshot,three_point,0.24862303290414878,0.14066097937231892,0.020686884968091325,0.1286489384999212,0.15164520743919885,699,3,-0.9325696410958031,-2.7755575615628914e-17,0.10796205353182989
base rate (in sample),red_next,Rated Red at the next snapshot,three_point,0.1286489384999212,7.703719777548943e-34,0.0,0.1286489384999212,0.15164520743919885,699,1,0.0,0.0,0.1286489384999212
climatology (prior snapshots only),red_next,Rated Red at the next snapshot,three_point,0.13647439989066754,0.0017808172614556194,0.0009226943638989588,0.1356162769931109,0.1617933723196881,513,3,-0.0063275804098370525,-2.7755575615628914e-17,0.13469358262921194
published DCA (climatology rows),red_next,Rated Red at the next snapshot,three_point,0.24310916179337233,0.13482153975020061,0.027328654949939198,0.1356162769931109,0.1617933723196881,513,3,-0.7926252451667133,0.0,0.10828762204317172
persistence (previous DCA),red_next,Rated Red at the next snapshot,three_point,0.25917241379310346,0.12457305189489096,0.009588773918936424,0.1441881358171489,0.17471264367816092,435,3,-0.7974600498460638,5.551115123125783e-17,0.13459936189821248
published DCA (persistence rows),red_next,Rated Red at the next snapshot,three_point,0.2385344827586207,0.12918438953428812,0.034838042592816316,0.1441881358171489,0.17471264367816092,435,3,-0.6543280860577627,-2.7755575615628914e-17,0.10935009322433259
published DCA,worsened_next,Rating worse at the next snapshot,five_point,0.3527816455696202,0.20969537029189037,0.014620822943708993,0.15770709822143889,0.1962025316455696,790,5,-1.2369420878841755,0.0,0.14308627527772988
base rate (in sample),worsened_next,Rating worse at the next snapshot,five_point,0.15770709822143889,7.703719777548943e-34,0.0,0.15770709822143889,0.1962025316455696,790,1,0.0,0.0,0.15770709822143889
climatology (prior snapshots only),worsened_next,Rating worse at the next snapshot,five_point,0.15711168007274637,0.0014001577677312644,0.0011446085770898038,0.15685613088210493,0.19480519480519481,693,7,-0.0016291947863582568,-2.7755575615628914e-17,0.15571152230501512
published DCA (climatology rows),worsened_next,Rating worse at the next snapshot,five_point,0.3580808080808081,0.21643948192728682,0.015214804728583638,0.15685613088210493,0.19480519480519481,693,5,-1.2828614097968938,0.0,0.1416413261535213
persistence (previous DCA),worsened_next,Rating worse at the next snapshot,five_point,0.32252988047808767,0.16805979117570397,0.0014202933899545946,0.1558903826923382,0.19322709163346613,502,5,-1.068953035509737,5.551115123125783e-17,0.15447008930238362
published DCA (persistence rows),worsened_next,Rating worse at the next snapshot,five_point,0.35249501992031873,0.2117865826869618,0.015181945458981291,0.1558903826923382,0.19322709163346613,502,5,-1.2611723304060076,0.0,0.1407084372333569
published DCA,worsened_next,Rating worse at the next snapshot,three_point,0.31772174535050074,0.22668906174279685,0.006990038408829069,0.09802272201653292,0.11015736766809728,699,3,-2.241307105274147,5.551115123125783e-17,0.09103268360770385
base rate (in sample),worsened_next,Rating worse at the next snapshot,three_point,0.0980227220165329,0.0,0.0,0.09802272201653292,0.11015736766809728,699,1,1.1102230246251565e-16,-1.3877787807814457e-17,0.09802272201653292
climatology (prior snapshots only),worsened_next,Rating worse at the next snapshot,three_point,0.09326665032999384,0.0009538980691338413,0.00032733832731716175,0.09264009058817717,0.10331384015594541,513,3,-0.006763375746273725,0.0,0.09231275226086001
