outcome,outcome_label,scale,rating,n,observed_rate,implied_p_adverse,gap
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",three_point,Green,58,0.3621,0.15,0.2121
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",three_point,Amber,544,0.1029,0.5,-0.3971
worsened_next_excl_worst,"Rating worse at the next snapshot, excluding projects already on the worst rating",three_point,Red,0,,0.85,
permanent_exit_next,Left the portfolio and did not return,five_point,Green,108,0.713,0.1,0.613
permanent_exit_next,Left the portfolio and did not return,five_point,Amber/Green,274,0.3394,0.25,0.0894
permanent_exit_next,Left the portfolio and did not return,five_point,Amber,554,0.1968,0.5,-0.3032
permanent_exit_next,Left the portfolio and did not return,five_point,Amber/Red,319,0.1818,0.75,-0.5682
permanent_exit_next,Left the portfolio and did not return,five_point,Red,57,0.2281,0.9,-0.6719
permanent_exit_next,Left the portfolio and did not return,three_point,Green,105,0.4476,0.15,0.2976
permanent_exit_next,Left the portfolio and did not return,three_point,Amber,647,0.1422,0.5,-0.3578
permanent_exit_next,Left the portfolio and did not return,three_point,Red,107,0.0748,0.85,-0.7752
