publication_slug,publication_year,department_slug,local_path,snapshot_date,n_rows,layout,n_mapped,n_unmapped,date_order,error,snapshot_source,snapshot_crosscheck
hmrc-government-major-projects-portfolio-data-2023,2023,hmrc,2023/hmrc/HMRC_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,21,wide,19,0,day_first,,"publication statement (title, filename or body)",
desnz-government-major-projects-portfolio-data-2023,2023,desnz,2023/desnz/DESNZ_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,19,wide,19,0,day_first,,"publication statement (title, filename or body)",
ho-government-major-projects-portfolio-data-2024,2024,ho,2024/ho/HO_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,22,wide,19,0,day_first,,"publication statement (title, filename or body)",
dft-government-major-projects-portfolio-data-2022,2022,dft,2022/dft/DFT_Government_Major_Projects_Portfolio_Data_March_2022.csv,2022-03-31,22,wide,17,0,day_first,,"publication statement (title, filename or body)",
desnz-government-major-projects-portfolio-data-2024,2024,desnz,2024/desnz/DESNZ_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,18,wide,19,0,day_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-mod-2013,2013,mod,2013/mod/20130524_mod_gmpp_data.csv,2012-09-30,36,transposed,13,0,day_first,,publication-year table,
mod-government-major-projects-portfolio-data-2018,2018,mod,2018/mod/MOD_Government_Major_Projects_Portfolio_data__September_2017__CSV_.csv,2017-09-30,37,transposed,14,0,day_first,,"publication statement (title, filename or body)",
beis-government-major-projects-portfolio-data-2022,2022,beis,2022/beis/BEIS_Government_Major_Projects_Portfolio_Data_March_2022.csv,2022-03-31,22,wide,17,0,day_first,,"publication statement (title, filename or body)",
mod-government-major-projects-portfolio-data-2017,2017,mod,2017/mod/Major_Project_Portfolio_data_MOD_Annual_Report_-_consolidated_data_and_narratives.csv,2016-09-30,33,transposed,14,0,day_first,,"publication statement (title, filename or body)",
mod-government-major-projects-portfolio-data-2019,2019,mod,2019/mod/MoD_Government_Major_Projects_Portfolio_data_September_2018.csv,2018-09-30,35,transposed,15,0,day_first,,"publication statement (title, filename or body)",
dh-government-major-projects-portfolio-data-2016,2016,dh,2016/dh/DH_Government_Major_Projects_Portfolio_Data__September_2015.csv,2015-09-30,21,transposed,14,0,day_first,,"publication statement (title, filename or body)",
moj-government-major-projects-portfolio-data-2023,2023,moj,2023/moj/MOJ_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,27,wide,19,0,day_first,,"publication statement (title, filename or body)",
ho-government-major-projects-portfolio-data-2023,2023,ho,2023/ho/HO_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,15,wide,19,0,day_first,,"publication statement (title, filename or body)",
moj-government-major-projects-portfolio-data-2020,2020,moj,2020/moj/MoJ_Government_Major_Projects_Portfolio_data_September_2019.csv,2019-09-30,11,transposed,16,0,day_first,,"publication statement (title, filename or body)",
dft-government-major-projects-portfolio-data-2024,2024,dft,2024/dft/DFT_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,19,wide,19,0,day_first,,"publication statement (title, filename or body)",
mod-government-major-projects-portfolio-data-2016,2016,mod,2016/mod/MOD_Government_Major_Projects_Portfolio_Data__September_2015.csv,2015-09-30,34,transposed,14,0,day_first,,"publication statement (title, filename or body)",
defra-government-major-projects-portfolio-data-2023,2023,defra,2023/defra/DEFRA_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,15,wide,19,0,day_first,,"publication statement (title, filename or body)",
ho-government-major-projects-portfolio-data-2022,2022,ho,2022/ho/HO_Government_Major_Projects_Portfolio_Data_March_2022.csv,2022-03-31,16,wide,17,0,day_first,,"publication statement (title, filename or body)",
dluhc-government-major-projects-portfolio-data-2023,2023,dluhc,2023/dluhc/DLUHC_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,11,wide,19,0,day_first,,"publication statement (title, filename or body)",
ho-government-major-projects-portfolio-data-2020,2020,ho,2020/ho/HO_Government_Major_Projects_Portfolio_data_September_2019.csv,2019-09-30,10,transposed,16,0,day_first,,"publication statement (title, filename or body)",
hmrc-government-major-projects-portfolio-data-2022,2022,hmrc,2022/hmrc/HMRC_Government_Major_Projects_Portfolio_Data_March_2022.csv,2022-03-31,19,wide,17,0,day_first,,"publication statement (title, filename or body)",
dft-government-major-projects-portfolio-data-2014,2014,dft,2014/dft/dft-government-major-projects-portfolio-data-september-2013.csv,2013-09-30,12,transposed,15,0,day_first,,"publication statement (title, filename or body)",
moj-government-major-projects-portfolio-data-2022,2022,moj,2022/moj/MOJ_Government_Major_Projects_Portfolio_Data_March_2022.csv,2022-03-31,24,wide,17,0,day_first,,"publication statement (title, filename or body)",
dft-government-major-projects-portfolio-data-2017,2017,dft,2017/dft/dft-government-major-project-portfolio-data-september-2016.csv,2016-09-30,17,transposed,14,0,day_first,,"publication statement (title, filename or body)",
beis-government-major-projects-portfolio-data-2021,2021,beis,2021/beis/BEIS_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,15,wide,16,0,day_first,,"publication statement (title, filename or body)",
moj-government-major-projects-portfolio-data-2015,2015,moj,2015/moj/moj-government-major-projects-portfolio-data-september2014.csv,2014-09-30,18,transposed,15,0,day_first,,"publication statement (title, filename or body)",
dh-government-major-projects-portfolio-data-2017,2017,dh,2017/dh/DH_Government_Major_Project_Portfolio_data__September_2016.csv,2016-09-30,18,transposed,16,0,day_first,,"publication statement (title, filename or body)",
co-government-major-projects-portfolio-data-2023,2023,co,2023/co/CO_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,11,wide,19,0,day_first,,"publication statement (title, filename or body)",
dfe-government-major-projects-portfolio-data-2023,2023,dfe,2023/dfe/DFE_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,12,wide,19,0,day_first,,"publication statement (title, filename or body)",
moj-government-major-projects-portfolio-data-2024,2024,moj,2024/moj/MOJ_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,21,wide,19,0,day_first,,"publication statement (title, filename or body)",
hmrc-government-major-projects-portfolio-data-2024,2024,hmrc,2024/hmrc/HMRC_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,13,wide,19,0,day_first,,"publication statement (title, filename or body)",
dft-government-major-projects-portfolio-data-2019,2019,dft,2019/dft/DfT_Government_Major_Projects_Portfolio_data__September_2018.csv,2018-09-30,18,transposed,15,0,day_first,,"publication statement (title, filename or body)",
dhsc-government-major-projects-portfolio-data-2018,2018,dhsc,2018/dhsc/csv-dhsc-government-major-projects-portfolio-data-september-2017.csv,2017-09-30,14,transposed,14,0,day_first,,"publication statement (title, filename or body)",
moj-government-major-projects-portfolio-data-2014,2014,moj,2014/moj/MOJ_Government_Major_Projects_Portfolio_data__September_2013__CSV_.csv,2013-09-30,19,transposed,15,0,day_first,,"publication statement (title, filename or body)",
beis-government-major-projects-portfolio-data-2020,2020,beis,2020/beis/BEIS_Government_Major_Projects_Portfolio_data_September_2019.csv,2019-09-30,8,transposed,16,0,day_first,,"publication statement (title, filename or body)",
co-government-major-projects-portfolio-data-2024,2024,co,2024/co/CO_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,11,wide,19,0,day_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-moj-2013--2,2013,moj,2013/moj/gmpp-data-MoJ-q2-2012-13.csv,2012-09-30,18,transposed,13,0,day_first,,publication-year table,
moj-government-major-projects-portfolio-data-2021,2021,moj,2021/moj/MOJ_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,19,wide,16,0,day_first,,"publication statement (title, filename or body)",
dhsc-government-major-projects-portfolio-data-2020,2020,dhsc,2020/dhsc/DHSC_Government_Major_Projects_Portfolio_data_September_2019.csv,2019-09-30,10,transposed,16,0,day_first,,"publication statement (title, filename or body)",
defra-government-major-projects-portfolio-data-2024,2024,defra,2024/defra/DEFRA_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,10,wide,19,0,day_first,,"publication statement (title, filename or body)",
defra-government-major-projects-portfolio-data-2022,2022,defra,2022/defra/DEFRA_Government_Major_Projects_Portfolio_Data_March_2022.csv,2022-03-31,13,wide,17,0,day_first,,"publication statement (title, filename or body)",
dfe-government-major-projects-portfolio-data-2024,2024,dfe,2024/dfe/DFE_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,11,wide,19,0,day_first,,"publication statement (title, filename or body)",
dft-government-major-projects-portfolio-data-2016,2016,dft,2016/dft/dft-government-major-project-portfolio-data-september-2015.csv,2015-09-30,10,transposed,14,0,day_first,,"publication statement (title, filename or body)",
co-government-major-projects-portfolio-data-2020,2020,co,2020/co/CO_Government_Major_Projects_Portfolio_data_September_2019.csv,2019-09-30,7,transposed,16,0,day_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-dft-2013,2013,dft,2013/dft/gmpp-data-dft-q2-2012-13.csv,2012-09-30,17,transposed,13,0,day_first,,publication-year table,
dhsc-government-major-projects-portfolio-data-2024,2024,dhsc,2024/dhsc/DHSC_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,11,wide,19,0,day_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-dwp-2013,2013,dwp,2013/dwp/gmpp-data-DWP-q2-2012-13.csv,2012-09-30,12,transposed,13,0,day_first,,publication-year table,
co-government-major-projects-portfolio-data-2022,2022,co,2022/co/CO_Government_Major_Projects_Portfolio_Data_March_2022.csv,2022-03-31,12,wide,17,0,day_first,,"publication statement (title, filename or body)",
dwp-government-major-projects-portfolio-data-2014,2014,dwp,2014/dwp/DWP_Government_Major_Projects_Portfolio_data__September_2013__CSV_.csv,2013-09-30,12,transposed,15,0,day_first,,"publication statement (title, filename or body)",
moj-government-major-projects-portfolio-data-2016,2016,moj,2016/moj/MOJ_Government_Major_Projects_Portfolio_Data__September_2015.csv,2015-09-30,16,transposed,14,0,day_first,,"publication statement (title, filename or body)",
dcms-government-major-projects-portfolio-data-2020,2020,dcms,2020/dcms/DCMS_Government_Major_Projects_Portfolio_data_September_2019.csv,2019-09-30,7,transposed,16,0,day_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-department-of-health-2013--2,2013,department-of-health,2013/department-of-health/gmpp-data-DH-q2-2012-13.csv,2012-09-30,21,transposed,13,0,day_first,,publication-year table,
co-government-major-projects-portfolio-data-2021,2021,co,2021/co/CO_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,12,wide,16,0,day_first,,"publication statement (title, filename or body)",
dft-government-major-projects-portfolio-data-2015,2015,dft,2015/dft/dft-government-major-project-portfolio-data-september-2014.csv,2014-09-30,9,transposed,15,0,day_first,,"publication statement (title, filename or body)",
dfe-government-major-projects-portfolio-data-2022,2022,dfe,2022/dfe/DFE_Government_Major_Projects_Portfolio_Data_March_2022.csv,2022-03-31,11,wide,17,0,day_first,,"publication statement (title, filename or body)",
hmrc-government-major-projects-portfolio-data-2021,2021,hmrc,2021/hmrc/HMRC_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,11,wide,16,0,day_first,,"publication statement (title, filename or body)",
dluhc-government-major-projects-portfolio-data-2022,2022,dluhc,2022/dluhc/DLUHC_Government_Major_Projects_Portfolio_Data_March_2022.csv,2022-03-31,10,wide,17,0,day_first,,"publication statement (title, filename or body)",
dwp-government-major-projects-portfolio-data-2015,2015,dwp,2015/dwp/dwp-government-major-project-portfolio-data-september-2014-csv.csv,2014-09-30,11,transposed,15,0,day_first,,"publication statement (title, filename or body)",
dcms-government-major-projects-portfolio-data-2021,2021,dcms,2021/dcms/DCMS_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,10,wide,16,0,day_first,,"publication statement (title, filename or body)",
dhsc-government-major-projects-portfolio-data-2019,2019,dhsc,2019/dhsc/DHSC_Government_Major_Project_Portfolio_data_September_2018.csv,2018-09-30,12,transposed,15,0,day_first,,"publication statement (title, filename or body)",
decc-government-major-projects-portfolio-data-2014,2014,decc,2014/decc/DECC_Government_Major_Projects_Portfolio_data__September_2013__CSV_.csv,2013-09-30,11,transposed,15,0,day_first,,"publication statement (title, filename or body)",
ho-government-major-projects-portfolio-data-2021,2021,ho,2021/ho/HO_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,11,wide,16,0,day_first,,"publication statement (title, filename or body)",
hmrc-government-major-projects-portfolio-data-2020,2020,hmrc,2020/hmrc/HMRC_Government_Major_Projects_Portfolio_data_September_2019.csv,2019-09-30,5,transposed,16,0,day_first,,"publication statement (title, filename or body)",
moj-government-major-projects-portfolio-data-2017,2017,moj,2017/moj/moj-annual-report-consolidated-data-and-narratives.csv,2016-09-30,13,transposed,16,0,day_first,,"publication statement (title, filename or body)",
government-major-projects-portfolio-data-for-bis-2014,2014,bis,2014/bis/BIS_Government_Major_Projects_Portfolio_data__September_2013__CSV_.csv,2013-09-30,12,transposed,15,0,day_first,,"publication statement (title, filename or body)",
dfe-government-major-projects-portfolio-data-2021,2021,dfe,2021/dfe/DFE_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,11,wide,16,0,day_first,,"publication statement (title, filename or body)",
dwp-government-major-projects-portfolio-data-2024,2024,dwp,2024/dwp/DWP_Government_Major_Projects_Portofolio_AR_Data_March_2024.csv,2024-03-31,7,wide,19,0,day_first,,"publication statement (title, filename or body)",
dhsc-government-major-projects-portfolio-data-2023,2023,dhsc,2023/dhsc/DHSC_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,8,wide,19,0,day_first,,"publication statement (title, filename or body)",
decc-government-major-projects-portfolio-data-2015,2015,decc,2015/decc/DECC_Government_Major_Projects_Portfolio_data__September_2014.csv,2014-09-30,10,transposed,15,0,day_first,,"publication statement (title, filename or body)",
moj-government-major-projects-portfolio-data-2018,2018,moj,2018/moj/csv-moj-government-major-projects-data-september-2017.csv,2017-09-30,11,transposed,14,0,day_first,,"publication statement (title, filename or body)",
