publication_slug,publication_year,department_slug,local_path,snapshot_date,n_rows,layout,n_mapped,n_unmapped,date_order,error,snapshot_source,snapshot_crosscheck
co-government-major-projects-portfolio-data-2016,2016,co,2016/co/CO_Government_Major_Projects_Portfolio_Data__September_2015.csv,2015-09-30,9,transposed,14,0,day_first,,"publication statement (title, filename or body)",
dfe-government-major-projects-portfolio-data-2019,2019,dfe,2019/dfe/DfE_Government_Major_Projects_Portfolio_data_September_2018.csv,2018-09-30,5,transposed,15,0,day_first,,"publication statement (title, filename or body)",
dbt-government-major-projects-portfolio-data-2023,2023,dbt,2023/dbt/DBT_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,3,wide,19,0,day_first,,"publication statement (title, filename or body)",
hm-revenue-customs-government-major-projects-portfolio-data-2017,2017,hm-revenue-customs,2017/hm-revenue-customs/HMRC_Government_Major_Projects_Portfolio_data_September_2016.csv,2016-09-30,6,transposed,16,0,day_first,,"publication statement (title, filename or body)",
dhsc-government-major-projects-portfolio-data-2021,2021,dhsc,2021/dhsc/DHSC_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,7,wide,16,0,day_first,,"publication statement (title, filename or body)",
fcdo-government-major-projects-portfolio-data-2021,2021,fcdo,2021/fcdo/FCDO_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,5,wide,16,0,day_first,,"publication statement (title, filename or body)",
co-government-major-projects-portfolio-data-2018,2018,co,2018/co/csv-co-government-major-projects-portfolio-data-september-2017.csv,2017-09-30,8,transposed,14,0,day_first,,"publication statement (title, filename or body)",
mhclg-government-major-projects-portfolio-data-2021,2021,mhclg,2021/mhclg/MHCLG_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,5,wide,16,0,day_first,,"publication statement (title, filename or body)",
dfe-government-major-projects-portfolio-data-2018,2018,dfe,2018/dfe/DfE-Government_Major_Project_Portfolio_data_September_2017.csv,2017-09-30,5,transposed,14,0,day_first,,"publication statement (title, filename or body)",
decc-government-major-projects-portfolio-data-2016,2016,decc,2016/decc/DECC_Government_Major_Projects_Portfolio_Data_September_2015.csv,2015-09-30,6,transposed,14,0,day_first,,"publication statement (title, filename or body)",
dwp-government-major-projects-portfolio-data-2021,2021,dwp,2021/dwp/DWP_Government_Major_Projects_Portofolio_Data_March_2021.csv,2021-03-31,5,wide,16,0,day_first,,"publication statement (title, filename or body)",
bis-government-major-projects-portfolio-data-2015,2015,bis,2015/bis/BIS_Government_Major_Project_Portfolio_data_September_2014_CSV.csv,2014-09-30,7,transposed,15,0,day_first,,"publication statement (title, filename or body)",
fco-government-major-projects-portfolio-data-2019,2019,fco,2019/fco/FCO_Government_Major_Projects_Portfolio_data_September_2018.csv,2018-09-30,4,transposed,15,0,day_first,,"publication statement (title, filename or body)",
hm-revenue-customs-government-major-projects-portfolio-data-2014,2014,hm-revenue-customs,2014/hm-revenue-customs/HMRC_Government_Major_Projects_Portfolio_data__September_2013__CSV_.csv,2013-09-30,8,transposed,15,0,day_first,,"publication statement (title, filename or body)",
hm-revenue-customs-government-major-projects-portfolio-data-2015,2015,hm-revenue-customs,2015/hm-revenue-customs/HMRC_Government_Major_Projects_Portfolio_data__September_2014v2.csv,2014-09-30,8,transposed,15,0,day_first,,"publication statement (title, filename or body)",
fco-government-major-projects-portfolio-data-2020,2020,fco,2020/fco/FCO_Government_Major_Projects_Portfolio_data_September_2019.csv,2019-09-30,3,transposed,16,0,day_first,,"publication statement (title, filename or body)",
fcdo-government-major-projects-portfolio-data-2023,2023,fcdo,2023/fcdo/FCDO_Government_Major_Projects_Portofolio_Data_March_2023.csv,2023-03-31,4,wide,19,0,day_first,,"publication statement (title, filename or body)",
co-government-major-projects-portfolio-data-2017,2017,co,2017/co/CO_Annual_Report_-_consolidated_data_and_narratives.csv,2016-09-30,6,transposed,16,0,day_first,,"publication statement (title, filename or body)",
