label,n_treated,n_control,n_treated_matched,n_control_matched,treated_rate_raw,control_rate_raw,treated_rate_matched,control_rate_standardised,difference,ci_lo,ci_hi
duration_extension,17843,67016,17842,66954,0.10626015804517178,0.08420377223349648,0.10626611366438739,0.09210068571504262,0.014165427949344764,0.009123576943428148,0.01880281304815186
days_extended_gt90,17754,66727,17753,66666,0.09693590176861552,0.09312572122229383,0.09694136202331999,0.09697448251876983,-3.312049544984541e-05,-0.005114035304439533,0.005032171887217697
value_growth_gt10,17681,66474,17679,66412,0.06408008596798824,0.06947077052682252,0.06408733525651904,0.06463158864286157,-0.0005442533863425358,-0.00456439829585534,0.003171197906655704
any_change,17843,67016,17842,66954,0.5718208821386538,0.5527485973498866,0.5717968837574263,0.5551346864923961,0.016662197265030265,0.008429807280442552,0.024163131773842824
underexecuted,15436,58350,15435,58270,0.2772091215340762,0.29491002570694086,0.277227081308714,0.29445538410647243,-0.017228302797758444,-0.024880613407646406,-0.009919967747042844
