label,split,model,n,base_rate,mean_forecast,brier,bss,auc,log_loss,train_base_rate
duration_extension,test 2021-2022,base rate,6338,0.09482486588829284,0.08401253918495297,0.08595001710629986,0.0,0.5,0.31429267978438197,0.08401253918495298
duration_extension,test 2021-2022,reference class,6338,0.09482486588829284,0.08684864392884585,0.08176191767940064,0.04872715059171584,0.6873727681219234,0.29395354315342875,0.08401253918495298
duration_extension,test 2021-2022,"GBM lot, no buyer history",6338,0.09482486588829284,0.07973856217838038,0.077357171531522,0.09997491407303094,0.7137441896415161,0.2830820283229412,0.08401253918495298
duration_extension,test 2021-2022,"GBM lot, plus buyer history",6338,0.09482486588829284,0.09224275317485961,0.07593494877969208,0.11652200504185484,0.7263772510924649,0.27597038411865,0.08401253918495298
duration_extension,test 2021-2022,GBM plus the bidder's price,6338,0.09482486588829284,0.08858888850627324,0.07526442156967082,0.12432336718925241,0.7420644576742557,0.2721170093458941,0.08401253918495298
duration_extension,test 2021-2022,GBM plus the bidder's price and history,6338,0.09482486588829284,0.09257231857022052,0.07612684243560697,0.1142893858711389,0.7301223891271795,0.2759495887796253,0.08401253918495298
days_extended_gt90,test 2021-2022,base rate,6317,0.07725186006015514,0.11130719778141937,0.07244377620471072,0.0,0.5,0.27849112864635334,0.11130719778141938
days_extended_gt90,test 2021-2022,reference class,6317,0.07725186006015514,0.11741043958274032,0.0726979830926677,-0.003509023152501678,0.6069815211674808,0.2761101027851878,0.11130719778141938
days_extended_gt90,test 2021-2022,"GBM lot, no buyer history",6317,0.07725186006015514,0.10155134840360855,0.06856684662266133,0.05351639278292197,0.7255432489896476,0.25377293165483744,0.11130719778141938
days_extended_gt90,test 2021-2022,"GBM lot, plus buyer history",6317,0.07725186006015514,0.06572608308423326,0.06482768862797622,0.10513101298326932,0.745421774676645,0.24265079131545855,0.11130719778141938
days_extended_gt90,test 2021-2022,GBM plus the bidder's price,6317,0.07725186006015514,0.06560893174438606,0.06507273174751205,0.10174848473345277,0.7431725628499672,0.24431278118032215,0.11130719778141938
days_extended_gt90,test 2021-2022,GBM plus the bidder's price and history,6317,0.07725186006015514,0.0718596342825512,0.06487404942076072,0.10449105748656118,0.745980913690451,0.24004436633852638,0.11130719778141938
value_growth_gt10,test 2021-2022,base rate,6338,0.052698011991164403,0.07198468410976389,0.050292907244753854,0.0,0.5,0.20943450878960168,0.07198468410976389
value_growth_gt10,test 2021-2022,reference class,6338,0.052698011991164403,0.07596308983559902,0.05032960346431655,-0.0007296499958555636,0.6504396270749639,0.2047837300966539,0.07198468410976389
value_growth_gt10,test 2021-2022,"GBM lot, no buyer history",6338,0.052698011991164403,0.07201325671337279,0.05150982550612197,-0.02419661793353689,0.6814546290496954,0.20300771290383604,0.07198468410976389
value_growth_gt10,test 2021-2022,"GBM lot, plus buyer history",6338,0.052698011991164403,0.06590226262915705,0.05161546385558988,-0.026297080111112203,0.6835914280699095,0.20376326268169714,0.07198468410976389
value_growth_gt10,test 2021-2022,GBM plus the bidder's price,6338,0.052698011991164403,0.06299921761429858,0.05141450894640577,-0.022301389263371885,0.6647915860484228,0.205945529839679,0.07198468410976389
value_growth_gt10,test 2021-2022,GBM plus the bidder's price and history,6338,0.052698011991164403,0.05668848096932573,0.050056441481997414,0.0047017715958567186,0.6879557839683724,0.19890539311747543,0.07198468410976389
any_change,test 2021-2022,base rate,6338,0.5597980435468602,0.5556112852664575,0.2464417229328663,0.0,0.5,0.6860139414857277,0.5556112852664576
any_change,test 2021-2022,reference class,6338,0.5597980435468602,0.5915197850652474,0.22432960840920038,0.0897255312960521,0.6933058858946228,0.6395318798792403,0.5556112852664576
any_change,test 2021-2022,"GBM lot, no buyer history",6338,0.5597980435468602,0.5774784894770757,0.2117635270250073,0.14071560405908112,0.7313872624488328,0.6190412650413439,0.5556112852664576
any_change,test 2021-2022,"GBM lot, plus buyer history",6338,0.5597980435468602,0.5862449641184287,0.2143118968090256,0.1303749452059838,0.7263621182916924,0.6234346841919992,0.5556112852664576
any_change,test 2021-2022,GBM plus the bidder's price,6338,0.5597980435468602,0.5856922831513985,0.2133139142145746,0.1344245135281581,0.7259971289797271,0.6193193253799741,0.5556112852664576
any_change,test 2021-2022,GBM plus the bidder's price and history,6338,0.5597980435468602,0.5824876199217827,0.21616559312968534,0.12285310069605604,0.7219174920092293,0.6287942164006317,0.5556112852664576
underexecuted,test 2021-2022,base rate,5503,0.3290932218789751,0.25250763192324477,0.2266562257811581,0.0,0.5,0.6481903382867584,0.25250763192324466
underexecuted,test 2021-2022,reference class,5503,0.3290932218789751,0.27005273896684007,0.20186310834169596,0.10938643910624579,0.7063838986858328,0.589363678572402,0.25250763192324466
underexecuted,test 2021-2022,"GBM lot, no buyer history",5503,0.3290932218789751,0.27142718744445343,0.17936832306951989,0.20863271039065034,0.7691152329600078,0.5425686127111767,0.25250763192324466
underexecuted,test 2021-2022,"GBM lot, plus buyer history",5503,0.3290932218789751,0.2971140448142734,0.17823500680007331,0.21363286542958937,0.7674975008270751,0.538775385960009,0.25250763192324466
underexecuted,test 2021-2022,GBM plus the bidder's price,5503,0.3290932218789751,0.28943440403960485,0.17716259314434474,0.21836432008975837,0.7701788396778325,0.5349234469076384,0.25250763192324466
underexecuted,test 2021-2022,GBM plus the bidder's price and history,5503,0.3290932218789751,0.2926638296784221,0.17748047018317473,0.21696185678774915,0.768343645101292,0.535738666601528,0.25250763192324466
duration_extension,test 2021 only (pre-invasion),base rate,4810,0.10395010395010396,0.084012539184953,0.09354198632763111,0.0,0.5,0.33609320760543765,0.08401253918495298
duration_extension,test 2021 only (pre-invasion),reference class,4810,0.10395010395010396,0.08795754976006086,0.08867012740732126,0.05208205546593958,0.6894199535962877,0.3135195471919463,0.08401253918495298
duration_extension,test 2021 only (pre-invasion),"GBM lot, no buyer history",4810,0.10395010395010396,0.0820690749907667,0.08248877946950342,0.1181630548170508,0.7343552204176335,0.2964737030610122,0.08401253918495298
duration_extension,test 2021 only (pre-invasion),"GBM lot, plus buyer history",4810,0.10395010395010396,0.0930765998535536,0.08073919158548615,0.13686682574072284,0.741030626450116,0.2889118161857707,0.08401253918495298
duration_extension,test 2021 only (pre-invasion),GBM plus the bidder's price,4810,0.10395010395010396,0.08974621595474097,0.07983411458093934,0.14654244884943868,0.7591120649651972,0.28414107112338033,0.08401253918495298
duration_extension,test 2021 only (pre-invasion),GBM plus the bidder's price and history,4810,0.10395010395010396,0.09398971275814677,0.0809180942711222,0.13495428686209077,0.7432844547563805,0.28929676542935034,0.08401253918495298
days_extended_gt90,test 2021 only (pre-invasion),base rate,4789,0.08122781373982042,0.11130719778141938,0.07553462535919148,0.0,0.5,0.28675100421394206,0.11130719778141938
