year,n_lots,n_tenders,still_running_rate,median_days_signing_to_registry_update,duration_extension_n,duration_extension_rate,days_extended_gt90_n,days_extended_gt90_rate,value_growth_gt10_n,value_growth_gt10_rate,any_change_n,any_change_rate,underexecuted_n,underexecuted_rate,cancelled_n,cancelled_rate
2019,4131,3616,0.12829823287339628,216.25030182439818,4112,0.08195525291828794,4091,0.14495233439256905,3972,0.07653575025176233,4112,0.5440175097276264,3498,0.2329902801600915,4112,0.0
2020,3882,3519,0.1014940752189593,214.44714032032988,3863,0.0862024333419622,3842,0.07548152004164498,3863,0.06730520320994046,3863,0.5679523686254206,3381,0.27270038450162676,3863,0.0
2021,4834,4339,0.09805544062887878,224.87646209129628,4810,0.10395010395010396,4789,0.08122781373982042,4810,0.05862785862785863,4810,0.5615384615384615,4190,0.3133651551312649,4810,0.0
2022,1533,1429,0.08480104370515329,200.81707223811344,1528,0.06609947643979057,1528,0.06479057591623037,1528,0.034031413612565446,1528,0.5543193717277487,1313,0.37928408225437926,1528,0.0
