nb,n_lots,duration_extension_n,duration_extension_rate,days_extended_gt90_n,days_extended_gt90_rate,value_growth_gt10_n,value_growth_gt10_rate,any_change_n,any_change_rate,underexecuted_n,underexecuted_rate
2,55747,55747,0.084345345937898,55512,0.09585314886871307,55265,0.07114810458698996,55747,0.5515812510090229,48589,0.29043610693778427
3,16412,16412,0.09462588349987813,16329,0.09382080960254761,16265,0.0661543190900707,16412,0.5725688520594687,14225,0.29975395430579965
4,6952,6952,0.10112197928653625,6923,0.09345659396215514,6910,0.06642547033285094,6952,0.5647295742232451,6006,0.2892107892107892
5,3104,3104,0.09922680412371133,3080,0.08376623376623377,3086,0.05476344782890473,3104,0.5557345360824743,2694,0.28322197475872307
6,1342,1342,0.11400894187779434,1336,0.08383233532934131,1335,0.04644194756554307,1342,0.5216095380029806,1143,0.2659667541557305
7,682,682,0.10263929618768329,680,0.07794117647058824,679,0.042709867452135494,682,0.5586510263929618,589,0.2699490662139219
8,813,813,0.09225092250922509,812,0.04064039408866995,808,0.038366336633663366,813,0.5830258302583026,698,0.29083094555873923
