method,n_lots,duration_extension_n,duration_extension_rate,days_extended_gt90_n,days_extended_gt90_rate,value_growth_gt10_n,value_growth_gt10_rate,any_change_n,any_change_rate,underexecuted_n,underexecuted_rate
aboveThreshold,492,490,0.05714285714285714,490,0.06938775510204082,490,0.026530612244897958,490,0.5591836734693878,446,0.3094170403587444
aboveThresholdEU,1442,1437,0.1489213639526792,1430,0.17552447552447553,1429,0.09027291812456263,1437,0.6019485038274183,1240,0.3217741935483871
aboveThresholdUA,12446,12386,0.08307766833521718,12330,0.08807785888077858,12254,0.061694140688754694,12386,0.5522363959308897,10696,0.28150710545998503
