label,group,block,lots,groups,blocks,icc,null_mean,null_sd,excess,p_greater,variant
duration_extension,winner_id,buyer_id,7379,1153,3390,0.23679287461523227,0.18121251419927703,0.008090270890195397,0.05558036041595524,0.009900990099009901,all lots
duration_extension,buyer_id,winner_id,9351,1375,4968,0.2604671689948728,0.18236208641818918,0.005807957273830226,0.07810508257668364,0.009900990099009901,all lots
duration_extension,winner_id,cpv_division,7379,1153,42,0.23679287461523227,0.09766858116208836,0.010107763365306244,0.13912429345314392,0.009900990099009901,all lots
duration_extension,buyer_id,cpv_division,9351,1375,46,0.2604671689948728,0.03026890187910187,0.008006441684942835,0.23019826711577096,0.009900990099009901,all lots
duration_extension,winner_id,buyer_year,7379,1153,4513,0.23679287461523227,0.20827757965246113,0.005861962224106237,0.028515294962771137,0.009900990099009901,all lots
duration_extension,winner_id,buyer_id,6315,1007,3321,0.21244688436363648,0.1714101759553955,0.00858095528254992,0.041036708408240974,0.009900990099009901,one lot per bidder and tender
duration_extension,winner_id,buyer_year,6315,1007,4404,0.21244688436363648,0.1895487567886233,0.006161999526036978,0.022898127575013194,0.009900990099009901,one lot per bidder and tender
duration_extension,buyer_id,winner_id,8326,1299,4910,0.2438396897642871,0.17232719000567814,0.006025732412514302,0.07151249975860896,0.009900990099009901,one lot per bidder and tender
duration_extension,winner_id,buyer_year,6765,1073,4058,0.24620227206658057,0.2143882282340792,0.006440817699529585,0.03181404383250139,0.009900990099009901,pre-invasion lots only
duration_extension,buyer_id,winner_id,8640,1292,4612,0.2669393768300431,0.1895909100642884,0.006812075076595856,0.07734846676575469,0.009900990099009901,pre-invasion lots only
days_extended_gt90,winner_id,buyer_id,7319,1140,3382,0.16744747681929806,0.1210288997617352,0.007786729994247329,0.04641857705756286,0.009900990099009901,all lots
days_extended_gt90,buyer_id,winner_id,9290,1372,4946,0.24288859428685422,0.13490286277433913,0.005927558516927481,0.10798573151251509,0.009900990099009901,all lots
days_extended_gt90,winner_id,cpv_division,7319,1140,42,0.16744747681929806,0.03663272707364352,0.00850524211599375,0.13081474974565455,0.009900990099009901,all lots
days_extended_gt90,buyer_id,cpv_division,9290,1372,46,0.24288859428685422,0.009384890641539691,0.0062286328256790325,0.23350370364531453,0.009900990099009901,all lots
days_extended_gt90,winner_id,buyer_year,7319,1140,4492,0.16744747681929806,0.14027597682393542,0.00757086579516957,0.02717149999536264,0.009900990099009901,all lots
days_extended_gt90,winner_id,buyer_id,6266,995,3313,0.14064462410134615,0.10513510711357155,0.008055410497353165,0.0355095169877746,0.009900990099009901,one lot per bidder and tender
days_extended_gt90,winner_id,buyer_year,6266,995,4384,0.14064462410134615,0.12143659958592284,0.0070390067662260795,0.019208024515423305,0.009900990099009901,one lot per bidder and tender
days_extended_gt90,buyer_id,winner_id,8275,1297,4888,0.22392373018591294,0.12890613563952474,0.007268585799983082,0.0950175945463882,0.009900990099009901,one lot per bidder and tender
days_extended_gt90,winner_id,buyer_year,6704,1059,4038,0.17253310473586242,0.14284958547318202,0.006987207442218342,0.029683519262680397,0.009900990099009901,pre-invasion lots only
days_extended_gt90,buyer_id,winner_id,8577,1288,4589,0.24846852726971846,0.13580043328591654,0.006355141031163569,0.11266809398380193,0.009900990099009901,pre-invasion lots only
any_change,winner_id,buyer_id,7379,1153,3390,0.31352413870103896,0.2098347902998331,0.005423659874863085,0.10368934840120586,0.009900990099009901,all lots
any_change,buyer_id,winner_id,9351,1375,4968,0.2521088530755992,0.18901080585158675,0.00490726800452442,0.06309804722401247,0.009900990099009901,all lots
any_change,winner_id,cpv_division,7379,1153,42,0.31352413870103896,0.14294309858865456,0.00651056756968724,0.1705810401123844,0.009900990099009901,all lots
any_change,buyer_id,cpv_division,9351,1375,46,0.2521088530755992,0.04289902059154266,0.005536733736001165,0.20920983248405656,0.009900990099009901,all lots
any_change,winner_id,buyer_year,7379,1153,4513,0.31352413870103896,0.2516668454078881,0.005327714212616251,0.06185729329315087,0.009900990099009901,all lots
any_change,winner_id,buyer_id,6315,1007,3321,0.2677172855505637,0.17671468097224405,0.0068374836171147015,0.09100260457831963,0.009900990099009901,one lot per bidder and tender
any_change,winner_id,buyer_year,6315,1007,4404,0.2677172855505637,0.21630507528850892,0.005744268959105004,0.05141221026205475,0.009900990099009901,one lot per bidder and tender
any_change,buyer_id,winner_id,8326,1299,4910,0.22066036552899312,0.16389794176158376,0.00529032018861952,0.056762423767409365,0.009900990099009901,one lot per bidder and tender
any_change,winner_id,buyer_year,6765,1073,4058,0.3086870814055409,0.24737135468063493,0.005156067937748078,0.06131572672490598,0.009900990099009901,pre-invasion lots only
any_change,buyer_id,winner_id,8640,1292,4612,0.2581691098989124,0.19598313302574316,0.005305903622953605,0.062185976873169235,0.009900990099009901,pre-invasion lots only
underexecuted,winner_id,buyer_id,6166,990,2865,0.30832452740934546,0.19560285361085367,0.006802838129747976,0.1127216737984918,0.009900990099009901,all lots
underexecuted,buyer_id,winner_id,8061,1216,4399,0.2330656514150956,0.16611334430116756,0.005176283875398392,0.06695230711392805,0.009900990099009901,all lots
underexecuted,winner_id,cpv_division,6166,990,41,0.30832452740934546,0.1435341350729381,0.006096750771517148,0.16479039233640735,0.009900990099009901,all lots
underexecuted,buyer_id,cpv_division,8061,1216,46,0.2330656514150956,0.05251951324084749,0.007603919612230669,0.1805461381742481,0.009900990099009901,all lots
underexecuted,winner_id,buyer_year,6166,990,3795,0.30832452740934546,0.2464354149008112,0.005583466396569477,0.061889112508534266,0.009900990099009901,all lots
underexecuted,winner_id,buyer_id,5226,854,2797,0.2852653321027656,0.18382421243255295,0.007685626207297303,0.10144111967021266,0.009900990099009901,one lot per bidder and tender
underexecuted,winner_id,buyer_year,5226,854,3687,0.2852653321027656,0.22472996411095658,0.005623710468467103,0.06053536799180903,0.009900990099009901,one lot per bidder and tender
underexecuted,buyer_id,winner_id,7174,1154,4347,0.21044368085049,0.1511234800055269,0.005659593517424735,0.05932020084496312,0.009900990099009901,one lot per bidder and tender
underexecuted,winner_id,buyer_year,5609,912,3380,0.31739955142168447,0.25374153612889694,0.0058310040518084,0.06365801529278753,0.009900990099009901,pre-invasion lots only
underexecuted,buyer_id,winner_id,7402,1134,4066,0.2396235033959448,0.17024454869458022,0.005565562664551099,0.06937895470136457,0.009900990099009901,pre-invasion lots only
