split,label,subset,predictor,n,base_rate,auc,auc_within_buyer,buyers_contributing,auc_within_cpv_year,cpv_year_cells_contributing
test 2022 post-invasion,duration_extension,buyer has 10 or more prior lots,winner's as-of extension rate,3337,0.08181000899011087,0.6257639227613118,0.526279628993473,118,0.5621277135046078,31
test 2022 post-invasion,duration_extension,buyer has 10 or more prior lots,winner's as-of win rate,3337,0.08181000899011087,0.45109041306821984,0.47595328065956716,118,0.48243803523256024,31
test 2022 post-invasion,duration_extension,buyer has 10 or more prior lots,winner's price as a share of the expected value,3337,0.08181000899011087,0.5491026597423464,0.5633802816901409,118,0.538971267177231,31
test 2022 post-invasion,duration_extension,buyer has 10 or more prior lots,log lot value,3337,0.08181000899011087,0.6810592584091278,0.6827550669872896,118,0.6224268100592038,31
test 2022 post-invasion,days_extended_gt90,all test lots,buyer's as-of extension rate,5912,0.056833558863328824,0.5734338704994193,0.3972286374133949,121,0.5335111585883806,29
test 2022 post-invasion,days_extended_gt90,all test lots,winner's as-of extension rate,5912,0.056833558863328824,0.5660168793127007,0.5030023094688222,121,0.49468776545084814,29
test 2022 post-invasion,days_extended_gt90,all test lots,winner's as-of win rate,5912,0.056833558863328824,0.45927246660859466,0.4048498845265589,121,0.4853632011119977,29
test 2022 post-invasion,days_extended_gt90,all test lots,winner's price as a share of the expected value,5912,0.056833558863328824,0.5035910705745713,0.49376443418013855,121,0.520203222734176,29
test 2022 post-invasion,days_extended_gt90,all test lots,log lot value,5912,0.056833558863328824,0.6542745909339346,0.6782909930715936,121,0.6151638394810677,29
test 2022 post-invasion,days_extended_gt90,winner has 10 or more prior wins,buyer's as-of extension rate,2428,0.04406919275123559,0.5369040093095547,0.5,29,,15
test 2022 post-invasion,days_extended_gt90,winner has 10 or more prior wins,winner's as-of extension rate,2428,0.04406919275123559,0.5262737218488647,0.46407185628742514,29,,15
test 2022 post-invasion,days_extended_gt90,winner has 10 or more prior wins,winner's as-of win rate,2428,0.04406919275123559,0.4541649385738503,0.5179640718562875,29,,15
test 2022 post-invasion,days_extended_gt90,winner has 10 or more prior wins,winner's price as a share of the expected value,2428,0.04406919275123559,0.5404917313275377,0.49700598802395207,29,,15
test 2022 post-invasion,days_extended_gt90,winner has 10 or more prior wins,log lot value,2428,0.04406919275123559,0.6283748142719663,0.6856287425149701,29,,15
test 2022 post-invasion,days_extended_gt90,buyer has 10 or more prior lots,buyer's as-of extension rate,3336,0.06924460431654676,0.5842413088789901,0.39664268585131895,98,0.5678982248948119,25
test 2022 post-invasion,days_extended_gt90,buyer has 10 or more prior lots,winner's as-of extension rate,3336,0.06924460431654676,0.5373577040243707,0.5019184652278178,98,0.4816169167705004,25
test 2022 post-invasion,days_extended_gt90,buyer has 10 or more prior lots,winner's as-of win rate,3336,0.06924460431654676,0.4530836313445009,0.39928057553956836,98,0.4818877873485382,25
test 2022 post-invasion,days_extended_gt90,buyer has 10 or more prior lots,winner's price as a share of the expected value,3336,0.06924460431654676,0.5073558218485754,0.49592326139088727,98,0.5324232081911263,25
test 2022 post-invasion,days_extended_gt90,buyer has 10 or more prior lots,log lot value,3336,0.06924460431654676,0.6585774933601021,0.6865707434052758,98,0.6129981761381079,25
test 2022 post-invasion,value_growth_gt10,all test lots,buyer's as-of extension rate,5916,0.03955375253549696,0.4923043830118804,0.5182926829268293,109,0.5305948653725736,24
test 2022 post-invasion,value_growth_gt10,all test lots,winner's as-of extension rate,5916,0.03955375253549696,0.5008292042346952,0.4945121951219512,109,0.5295679398872887,24
test 2022 post-invasion,value_growth_gt10,all test lots,winner's as-of win rate,5916,0.03955375253549696,0.5417554159634413,0.5009146341463414,109,0.5330118973074515,24
test 2022 post-invasion,value_growth_gt10,all test lots,winner's price as a share of the expected value,5916,0.03955375253549696,0.5213776748887625,0.5310975609756098,109,0.507998330202463,24
test 2022 post-invasion,value_growth_gt10,all test lots,log lot value,5916,0.03955375253549696,0.5408934948269689,0.6664634146341464,109,0.5689375913170528,24
test 2022 post-invasion,value_growth_gt10,winner has 10 or more prior wins,buyer's as-of extension rate,2431,0.0374331550802139,0.5043603832065371,0.574468085106383,40,,14
test 2022 post-invasion,value_growth_gt10,winner has 10 or more prior wins,winner's as-of extension rate,2431,0.0374331550802139,0.5508875739644971,0.5617021276595745,40,,14
test 2022 post-invasion,value_growth_gt10,winner has 10 or more prior wins,winner's as-of win rate,2431,0.0374331550802139,0.5719733258194797,0.4553191489361702,40,,14
test 2022 post-invasion,value_growth_gt10,winner has 10 or more prior wins,winner's price as a share of the expected value,2431,0.0374331550802139,0.5847914905607213,0.6553191489361702,40,,14
test 2022 post-invasion,value_growth_gt10,winner has 10 or more prior wins,log lot value,2431,0.0374331550802139,0.566265145111299,0.7148936170212766,40,,14
test 2022 post-invasion,value_growth_gt10,buyer has 10 or more prior lots,buyer's as-of extension rate,3337,0.049145939466586755,0.5143964317834164,0.5205882352941177,79,0.529535500852193,23
test 2022 post-invasion,value_growth_gt10,buyer has 10 or more prior lots,winner's as-of extension rate,3337,0.049145939466586755,0.49417051647667437,0.4843137254901961,79,0.5353282561325537,23
test 2022 post-invasion,value_growth_gt10,buyer has 10 or more prior lots,winner's as-of win rate,3337,0.049145939466586755,0.5438138485544957,0.50359477124183,79,0.5350154257729067,23
test 2022 post-invasion,value_growth_gt10,buyer has 10 or more prior lots,winner's price as a share of the expected value,3337,0.049145939466586755,0.5243335536885151,0.5333333333333333,79,0.5117041703523117,23
test 2022 post-invasion,value_growth_gt10,buyer has 10 or more prior lots,log lot value,3337,0.049145939466586755,0.546342808606151,0.6764705882352942,79,0.5867403076524779,23
test 2022 post-invasion,any_change,all test lots,buyer's as-of extension rate,5916,0.49949290060851925,0.5399530043984089,0.4762532981530343,526,0.5209070580948698,41
test 2022 post-invasion,any_change,all test lots,winner's as-of extension rate,5916,0.49949290060851925,0.4502279778119502,0.5304577262819777,526,0.4984261550495343,41
test 2022 post-invasion,any_change,all test lots,winner's as-of win rate,5916,0.49949290060851925,0.5009563124910354,0.490076861305495,526,0.5017214156317333,41
test 2022 post-invasion,any_change,all test lots,winner's price as a share of the expected value,5916,0.49949290060851925,0.4517514490405731,0.5293679018010784,526,0.4128635109318616,41
test 2022 post-invasion,any_change,all test lots,log lot value,5916,0.49949290060851925,0.6166432660114484,0.6754043822415969,526,0.6052477006597791,41
test 2022 post-invasion,any_change,winner has 10 or more prior wins,buyer's as-of extension rate,2431,0.5808309337721103,0.5817217207338194,0.49069940476190477,174,0.5180828422927133,31
test 2022 post-invasion,any_change,winner has 10 or more prior wins,winner's as-of extension rate,2431,0.5808309337721103,0.4525756379497758,0.45796130952380953,174,0.5375965793651942,31
test 2022 post-invasion,any_change,winner has 10 or more prior wins,winner's as-of win rate,2431,0.5808309337721103,0.47208804666019843,0.45498511904761907,174,0.4698957111764223,31
test 2022 post-invasion,any_change,winner has 10 or more prior wins,winner's price as a share of the expected value,2431,0.5808309337721103,0.4013189901781172,0.5859375,174,0.3717889321615922,31
test 2022 post-invasion,any_change,winner has 10 or more prior wins,log lot value,2431,0.5808309337721103,0.6372853461289327,0.6997767857142857,174,0.630114905918065,31
test 2022 post-invasion,any_change,buyer has 10 or more prior lots,buyer's as-of extension rate,3337,0.4372190590350614,0.4982503662406086,0.47836185819070903,319,0.5158346765016002,38
test 2022 post-invasion,any_change,buyer has 10 or more prior lots,winner's as-of extension rate,3337,0.4372190590350614,0.49749087774388484,0.5294621026894866,319,0.5237334349031758,38
test 2022 post-invasion,any_change,buyer has 10 or more prior lots,winner's as-of win rate,3337,0.4372190590350614,0.4971288342125298,0.4915647921760391,319,0.5208628481979869,38
test 2022 post-invasion,any_change,buyer has 10 or more prior lots,winner's price as a share of the expected value,3337,0.4372190590350614,0.5213039990481759,0.535880195599022,319,0.49859025394008927,38
test 2022 post-invasion,any_change,buyer has 10 or more prior lots,log lot value,3337,0.4372190590350614,0.6125590419277066,0.6740220048899755,319,0.597311960313442,38
test 2022 post-invasion,underexecuted,all test lots,buyer's as-of extension rate,5313,0.2977602108036891,0.5116724569254556,0.507243816254417,367,0.47550574616690316,39
test 2022 post-invasion,underexecuted,all test lots,winner's as-of extension rate,5313,0.2977602108036891,0.4429413283518923,0.5234098939929329,367,0.49300598964855163,39
test 2022 post-invasion,underexecuted,all test lots,winner's as-of win rate,5313,0.2977602108036891,0.49950952504065266,0.48745583038869256,367,0.4911616161616162,39
test 2022 post-invasion,underexecuted,all test lots,winner's price as a share of the expected value,5313,0.2977602108036891,0.43845869218198164,0.4600706713780919,367,0.4451296713693408,39
test 2022 post-invasion,underexecuted,all test lots,log lot value,5313,0.2977602108036891,0.5902825474608645,0.6063604240282685,367,0.5855472771795086,39
test 2022 post-invasion,underexecuted,winner has 10 or more prior wins,buyer's as-of extension rate,2185,0.3551487414187643,0.5330286523307457,0.4574353448275862,138,0.48537684902559286,24
test 2022 post-invasion,underexecuted,winner has 10 or more prior wins,winner's as-of extension rate,2185,0.3551487414187643,0.4556308671061585,0.5193965517241379,138,0.504428269546842,24
test 2022 post-invasion,underexecuted,winner has 10 or more prior wins,winner's as-of win rate,2185,0.3551487414187643,0.4705999904882457,0.4110991379310345,138,0.46348673397511153,24
test 2022 post-invasion,underexecuted,winner has 10 or more prior wins,winner's price as a share of the expected value,2185,0.3551487414187643,0.41094116979944834,0.5301724137931034,138,0.43833294200516554,24
test 2022 post-invasion,underexecuted,winner has 10 or more prior wins,log lot value,2185,0.3551487414187643,0.5885736392703753,0.5953663793103449,138,0.5665531814980043,24
test 2022 post-invasion,underexecuted,buyer has 10 or more prior lots,buyer's as-of extension rate,3066,0.2671232876712329,0.4859552256080961,0.5094919039642658,252,0.4844607498241029,36
test 2022 post-invasion,underexecuted,buyer has 10 or more prior lots,winner's as-of extension rate,3066,0.2671232876712329,0.49287885135682197,0.5281965382467895,252,0.5231949609676014,36
test 2022 post-invasion,underexecuted,buyer has 10 or more prior lots,winner's as-of win rate,3066,0.2671232876712329,0.5008710569458233,0.48213288665549975,252,0.5037591717760579,36
test 2022 post-invasion,underexecuted,buyer has 10 or more prior lots,winner's price as a share of the expected value,3066,0.2671232876712329,0.48287500957727925,0.46249767355294996,252,0.4687941836700506,36
test 2022 post-invasion,underexecuted,buyer has 10 or more prior lots,log lot value,3066,0.2671232876712329,0.5879585479051433,0.6028289596128792,252,0.5828693000971622,36
