label,grouping,lots,groups,mean_group_size,icc,null_mean,null_sd,p_greater
duration_extension,buyer_id,9351,1375,6.800727272727273,0.2604671689948728,0.00019803362072508542,0.006710409214384437,0.009900990099009901
duration_extension,winner_id,7379,1153,6.399826539462272,0.23679287461523227,-0.0017029273335098048,0.00881662446888969,0.009900990099009901
duration_extension,cpv_division,14311,45,318.02222222222224,0.08060486033267446,0.00015680641102735452,0.0007550561331178572,0.009900990099009901
duration_extension,region,14287,54,264.5740740740741,0.00366155089635318,6.291546797101885e-05,0.0008245623855253952,0.009900990099009901
days_extended_gt90,buyer_id,9290,1372,6.771137026239067,0.24288859428685422,0.0011906589114246524,0.007094611298390998,0.009900990099009901
days_extended_gt90,winner_id,7319,1140,6.420175438596491,0.16744747681929806,0.0001644978291451497,0.007658953562339386,0.009900990099009901
days_extended_gt90,cpv_division,14248,45,316.6222222222222,0.0312636828301313,-3.8424000848432784e-05,0.0006668593344844045,0.009900990099009901
days_extended_gt90,region,14224,54,263.4074074074074,0.015916520143824556,-4.743722319255978e-06,0.0007629556592157251,0.009900990099009901
any_change,buyer_id,9351,1375,6.800727272727273,0.2521088530755992,0.0007553627989489825,0.006168820323190724,0.009900990099009901
any_change,winner_id,7379,1153,6.399826539462272,0.31352413870103896,0.0004135156721644818,0.0058169319617196865,0.009900990099009901
any_change,cpv_division,14311,45,318.02222222222224,0.1516763694181463,-9.434306334830642e-06,0.0006726212761399238,0.009900990099009901
any_change,region,14287,54,264.5740740740741,0.018834082759543486,-4.278099356670803e-05,0.0007755014953156499,0.009900990099009901
underexecuted,buyer_id,8061,1216,6.629111842105263,0.2330656514150956,0.00013293719895037163,0.006474671189763102,0.009900990099009901
underexecuted,winner_id,6166,990,6.228282828282828,0.30832452740934546,-0.000598546040634929,0.008255572886528919,0.009900990099009901
underexecuted,cpv_division,12376,43,287.8139534883721,0.1623146410792521,-0.0001219552763980953,0.000826478652407347,0.009900990099009901
underexecuted,region,12358,53,233.16981132075472,0.016705030521963385,-4.269793841028093e-05,0.0007899988258176434,0.009900990099009901
