bin,n_lots,bid_cv_min,bid_cv_median,bid_cv_max,duration_extension_n,duration_extension_rate,days_extended_gt90_n,days_extended_gt90_rate,value_growth_gt10_n,value_growth_gt10_rate,any_change_n,any_change_rate,underexecuted_n,underexecuted_rate
0,2397,0.0,0.00024055342105342662,0.0009706338794599142,2382,0.0948782535684299,2367,0.1022391212505281,2365,0.07019027484143764,2382,0.5596137699412259,2061,0.3042212518195051
1,2397,0.0009715360399898861,0.002400438428380751,0.004000089788147094,2385,0.0909853249475891,2377,0.10054690786705932,2366,0.07100591715976332,2385,0.5433962264150943,2097,0.24988078206962328
2,2396,0.0040007851379646985,0.007484848331925468,0.014518959073739126,2389,0.07785684386772708,2380,0.09915966386554621,2347,0.07158074137196421,2389,0.5621598995395563,2105,0.2655581947743468
3,2397,0.014566251199650505,0.028574896474402926,0.04920380017423379,2384,0.09563758389261745,2370,0.10632911392405063,2369,0.056986070071760236,2384,0.5633389261744967,2041,0.30377266046055856
4,2396,0.049218375023907614,0.07657191698397771,0.1152677728298061,2384,0.09144295302013423,2376,0.0867003367003367,2356,0.05475382003395586,2384,0.5826342281879194,2043,0.29515418502202645
5,2397,0.11533369589589346,0.18646526189137283,1.4104548159432972,2389,0.08204269568857263,2380,0.08235294117647059,2370,0.05569620253164557,2389,0.5336961071578066,2035,0.3022113022113022
